audio,nombre,rango,icm_score,deteccion_pct,n_segs
casanare_torres,Gral. Henry Torres Escalante,General,0.19,86,903
catatumbo,Cap. Juan Carlos Chaparro,Capitán/Mayor,0.272,55,1168
huila,Soldados/suboficiales (Ollo La Tapia+),Soldado/Suboficial,0.299,93,322
dabeiba,Oficial Dabeiba (coronel/teniente coronel),Oficial,0.353,40,424
