_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,start,end,dur,frame_t,frame_k
5.476341016219521e-07,0.001313182758167386,0.0016152383759617805,0.2644140422344208,0.44055795669555664,0.10434658080339432,1.312435506406473e-05,1.8595858364278683e-07,9.92922295495191e-08,0.06270896643400192,0.0834527537226677,0.02528124488890171,0.07883825153112411,0.8543689846992493,0.0009365215664729476,0.0016409001545980573,0.8715477585792542,0.3369506895542145,0.1774340122938156,0.6297603845596313,0.30793219804763794,0.030212746933102608,0.0051417569629848,4.534024265012704e-05,0.0356086902320385,0.007907845079898834,9.742720067151822e-06,0.0017877519130706787,0.003046684432774782,0.00034661326208151877,0.020277224481105804,0.019646143540740013,0.0006264798576012254,0.11338059604167938,0.0003810437337961048,0.00021369877504184842,0.01872383989393711,0.026385348290205002,0.06369929015636444,1.8213513612863608e-06,0.06204722076654434,0.018788563087582588,0.150100976228714,0.0035851935390383005,3.144221773254685e-05,1.2666189832089003e-05,0.004029739648103714,0.0009590897243469954,1.5547604562016204e-05,1.632920429983642e-05,5.148738750904158e-07,3.5956367128164857e-07,7557.663,7561.207,3.5440000000007785,7558.2536666666665,0
1.171775693364907e-06,0.6404936909675598,0.595522940158844,4.719034404843114e-05,0.0005586884217336774,0.00045530570787377656,0.00010658354585757479,6.825862897130719e-08,8.503110393576208e-08,0.2712962329387665,0.20244702696800232,0.19125819206237793,0.1898617297410965,0.1242985650897026,0.054220084100961685,0.04040001705288887,0.11415649205446243,0.08551742881536484,0.08444856107234955,0.7863694429397583,0.6994726061820984,0.003317594761028886,0.0009509972296655178,0.000798502005636692,0.028111867606639862,0.023168228566646576,4.6739323806832545e-06,0.00455035176128149,0.012013773433864117,0.005812799092382193,0.001238922355696559,0.0012433526571840048,0.0055839321576058865,0.0031474032439291477,0.005280104000121355,0.00666330149397254,0.04661419242620468,0.054006461054086685,0.002396068535745144,1.6011004845495336e-05,0.005334072280675173,0.011359598487615585,0.0009520198218524456,0.002511085942387581,0.02643469162285328,0.01781867817044258,0.0163031667470932,0.005694807507097721,0.0013099242933094501,0.0013300362043082714,1.8419426339733036e-07,6.305911597337399e-07,7572.513,7576.293,3.7799999999997453,7573.143,0
3.5814545640278084e-07,0.6005332469940186,0.5336098670959473,0.00040650475420989096,0.0011146165197715163,0.0014695296995341778,1.1561252904357389e-05,1.97639451471332e-08,3.13410382091206e-08,0.3733971416950226,0.4514206051826477,0.261237233877182,0.335978627204895,0.25545087456703186,0.020285271108150482,0.021808676421642303,0.2643611431121826,0.06234988942742348,0.03744463250041008,0.7804920077323914,0.6774539947509766,0.0035636634565889835,0.00032927573192864656,4.8702131607569754e-05,0.03615085408091545,0.006509735248982906,4.955872100254055e-06,0.0019171186722815037,0.0027511087246239185,0.0009162050555460155,0.0006579536129720509,0.0007171742618083954,0.0017626398475840688,0.12746134400367737,0.0003774052602238953,0.00021964825282339007,0.0031857723370194435,0.006369933020323515,0.2503119111061096,2.9516850190702826e-06,0.011007994413375854,0.011056684888899326,0.01398496050387621,0.001482981606386602,4.2554802348604426e-05,1.7376574760419317e-05,0.0008053964702412486,0.00040776433888822794,2.8680353352683596e-05,2.7380072424421087e-05,2.5325215347038466e-07,1.353660792347e-07,7581.187,7584.713,3.52599999999984,7581.774666666666,0
6.896780035958727e-08,0.002566020702943206,0.015305470675230026,0.11905345320701599,0.40393346548080444,0.01778385415673256,2.709024556679651e-06,9.907785702978344e-09,1.608167821132156e-08,0.05569816380739212,0.2600860297679901,0.02482876181602478,0.11136841773986816,0.10149528831243515,0.3132031261920929,0.10035001486539841,0.013295076787471771,0.3173639178276062,0.09540772438049316,0.24140118062496185,0.2949633300304413,0.020184094086289406,0.0008980729035101831,2.1035952158854343e-05,0.015031399205327034,0.0012352507328614593,1.0284363270329777e-05,0.00010739933350123465,0.0006344791036099195,0.0008557338151149452,0.014834289439022541,0.0067075989209115505,0.0008564133895561099,0.16681531071662903,0.0005786261172033846,0.00019188194710295647,0.004937734920531511,0.02522468753159046,0.14732734858989716,1.1080152262366028e-06,0.01026171911507845,0.0026997907552868128,0.14193195104599,0.0094144931063056,1.1040343451895751e-05,7.461902441718848e-06,0.0052261436358094215,0.00019326109031680971,1.627494566491805e-05,5.603899626294151e-05,1.0616494137138943e-06,2.2620913142645804e-08,7612.625,7616.945,4.319999999999709,7613.345,0
1.3488197510014288e-06,0.06205539405345917,0.062064722180366516,0.008137187920510769,0.09270860999822617,0.018000774085521698,0.000812490179669112,3.424201224788703e-07,5.050385993854434e-07,0.13396905362606049,0.27761322259902954,0.24443085491657257,0.24924232065677643,0.03828960657119751,0.1579372137784958,0.16050732135772705,0.05423911660909653,0.05671713873744011,0.035520799458026886,0.5417159199714661,0.4464191496372223,0.01050279475748539,0.0006652019801549613,0.005684736650437117,0.02540343813598156,0.041042547672986984,8.254243766714353e-06,0.000942818121984601,0.0020875262562185526,0.013497082516551018,0.00540692126378417,0.003824318526312709,0.010211843997240067,4.867836105404422e-05,0.24782928824424744,0.2792441248893738,0.02904193475842476,0.05105261132121086,0.0007997718639671803,0.0007640269468538463,0.005142381880432367,0.0349394865334034,0.0005786514957435429,0.005913392640650272,0.11792802065610886,0.1257135272026062,0.450376957654953,0.3397824466228485,0.17476828396320343,0.35358232259750366,1.8453515622240957e-06,2.3084687654773006e-06,7617.147,7620.792,3.6450000000004366,7617.7545,0
9.07187029497436e-07,0.005115085281431675,0.013396479189395905,0.16457143425941467,0.21801500022411346,0.013038543984293938,0.0005106724565848708,3.5787607544079947e-07,2.2124970655568177e-07,0.4294035732746124,0.451402485370636,0.15763205289840698,0.23848691582679749,0.1804729402065277,0.13909921050071716,0.03506375104188919,0.0541631244122982,0.0835619568824768,0.03342641890048981,0.5998091101646423,0.3809470236301422,0.0027725419495254755,0.00024071999359875917,0.005152096971869469,0.07161868363618851,0.09300729632377625,1.4683146218885668e-05,0.001750377588905394,0.0015954221598803997,0.015570172108709812,0.004920366685837507,0.002848048461601138,0.015179644338786602,0.0005141703877598047,0.20398688316345215,0.19448629021644592,0.02374427206814289,0.08869709074497223,0.0012655641185119748,7.382145849987864e-05,0.003785619279369712,0.018756486475467682,0.0010073328157886863,0.013041931204497814,0.10538472980260849,0.15444155037403107,0.19950541853904724,0.21274356544017792,0.0763167217373848,0.17365843057632446,1.8592749029266997e-06,1.5250230944729992e-06,7624.91,7630.225,5.315000000000509,7625.795833333334,0
1.4154124983178917e-06,0.005907402839511633,0.03082309104502201,0.0745796486735344,0.2972363233566284,0.025039067491889,2.702027268242091e-05,1.0203186917578932e-07,8.505624293775327e-08,0.2637389898300171,0.4323683977127075,0.20685765147209167,0.2258811891078949,0.011899004690349102,0.39672353863716125,0.42712000012397766,0.0069333272986114025,0.06426952034235,0.038691237568855286,0.6390444040298462,0.4562380611896515,0.004624498076736927,0.0002148164639947936,0.00022660392278339714,0.011071021668612957,0.0012883548624813557,4.833933644476929e-07,0.0002839210210368037,0.002749842591583729,0.003202039049938321,0.11225458234548569,0.10980958491563797,0.0005039387615397573,0.0012675703037530184,0.0004038801125716418,0.00047794179408811033,0.09421902149915695,0.10065513104200363,0.0015560789033770561,6.539345486089587e-05,0.0054851374588906765,0.0016970176948234439,0.0413576103746891,0.011131114326417446,0.014798395335674286,0.010466324165463448,0.09635043144226074,0.09543751180171967,0.0011781007051467896,0.002002009656280279,2.0099257653782843e-06,6.837667569925543e-07,7630.799,7633.87,3.0709999999999127,7631.310833333333,0
1.4250954336603172e-06,0.09731926023960114,0.15583212673664093,0.014690934680402279,0.017719659954309464,0.0033299822825938463,1.4163390005705878e-05,8.963088049540602e-08,5.7220727711637664e-08,0.15171094238758087,0.2427477389574051,0.13584838807582855,0.1451490819454193,0.03708537295460701,0.16562791168689728,0.17439554631710052,0.019512701779603958,0.09272228926420212,0.059772100299596786,0.5691585540771484,0.5292561650276184,0.006185282953083515,0.0006470448570325971,8.221882308134809e-05,0.007179270498454571,0.0035645358730107546,2.0107252112211427e-06,0.0012758554657921195,0.0033469288609921932,0.002712849760428071,0.03629779815673828,0.04439748823642731,0.0003399394918233156,0.0011616228148341179,0.0003998186730314046,0.000248631346039474,0.07046160846948624,0.152547687292099,0.0014040537644177675,7.554802141385153e-05,0.011910908855497837,0.0032542881090193987,0.0529882088303566,0.00752878375351429,0.003445807844400406,0.003134861122816801,0.01510715577751398,0.02549637109041214,0.00015414539666380733,0.00023431582667399198,4.798978352482663e-07,6.514160304504912e-07,7635.794,7640.131,4.337000000000444,7636.516833333333,0
2.2569918201043038e-06,0.5867536067962646,0.5342575311660767,0.00021916018158663064,0.000455063593108207,0.0006859441637061536,0.000304083718219772,8.334373546858842e-07,4.5067483256389096e-07,0.2604108452796936,0.11851787567138672,0.2420649379491806,0.2194059193134308,0.05600457638502121,0.1111128032207489,0.08961520344018936,0.04128390550613403,0.0645979568362236,0.08663143217563629,0.8091136813163757,0.787360668182373,0.001937944907695055,0.005008420906960964,0.0010201672557741404,0.01553032360970974,0.1967047154903412,3.3615604479564354e-05,0.016415400430560112,0.0035285349003970623,0.003157528582960367,0.0009393678628839552,0.0007527375128120184,0.009214984253048897,0.005797893740236759,0.01820007711648941,0.028067363426089287,0.013141725212335587,0.01814090833067894,0.004433316644281149,1.4312299754237756e-05,0.006795419845730066,0.03112143836915493,0.0005490214098244905,0.004576255101710558,0.6595683693885803,0.5668468475341797,0.04834024980664253,0.026307132095098495,0.00837362464517355,0.011202708818018436,1.2978176755495952e-07,3.327975719003007e-06,7700.56,7708.07,7.509999999999309,7701.8116666666665,0
1.8749784658211865e-06,0.24805423617362976,0.290518581867218,0.0015807285672053695,0.0063132308423519135,0.0057141962461173534,1.2356437764537986e-05,4.3092248347420536e-07,3.717296976901707e-07,0.42724302411079407,0.23780584335327148,0.15549544990062714,0.12094951421022415,0.04862598702311516,0.18045468628406525,0.14477252960205078,0.016876816749572754,0.08107718825340271,0.11882852762937546,0.8136127591133118,0.8354735374450684,0.0010202758712694049,0.002701853634789586,2.9153610739740543e-05,0.004731415305286646,0.20881880819797516,0.0014742659404873848,0.10579240322113037,0.00323169375769794,0.0010727854678407311,2.9690772862522863e-05,5.5757111113052815e-05,0.011177071370184422,0.020578473806381226,0.0005818182835355401,0.0009319364326074719,0.0011484742863103747,0.000967959756962955,0.9492973685264587,0.00029471059679053724,0.08391042053699493,0.14465005695819855,0.00906948558986187,0.0020767871756106615,5.519586920854636e-07,2.5173036988235253e-07,1.615179280634038e-05,0.00015802175039425492,6.6965217229153495e-06,4.3412023842392955e-06,4.299377280858607e-07,2.8222586934134597e-07,7709.065,7712.153,3.0880000000006476,7709.5796666666665,0
1.6457069023090298e-06,0.024892348796129227,0.15118959546089172,0.01590174064040184,0.06501388549804688,0.004072550684213638,0.0007649495964869857,2.197549946458821e-07,2.7571076088861446e-07,0.27368828654289246,0.4679897129535675,0.2242749035358429,0.3760639429092407,0.3862072229385376,0.02159997448325157,0.007983949035406113,0.28330883383750916,0.0819435864686966,0.01794249378144741,0.7588814496994019,0.4120732247829437,0.004761015065014362,0.00024556188145652413,0.0028528000693768263,0.03639679029583931,0.13355053961277008,2.4180311811505817e-05,0.00812491588294506,0.0040030344389379025,0.018954910337924957,0.0004526156117208302,0.00023611239157617092,0.011845342814922333,9.160958143183962e-05,0.07572097331285477,0.09816703200340271,0.03504084795713425,0.04727201536297798,0.0016169532900676131,0.0018045169999822974,0.004941775929182768,0.03961072489619255,0.00034842267632484436,0.004055899102240801,0.43452975153923035,0.46581539511680603,0.05495932698249817,0.02971021644771099,0.015678850933909416,0.03889472782611847,7.13985855327337e-07,2.7540745577425696e-06,7763.167,7767.908,4.7409999999999854,7764.747333333334,1
1.6324839862136287e-06,0.09846629202365875,0.19497546553611755,0.017114434391260147,0.023566821590065956,0.0017515210201963782,0.00010573110193945467,2.0074077156095882e-07,1.7125279327956378e-07,0.3435427248477936,0.39358705282211304,0.1741151362657547,0.37019994854927063,0.05191386863589287,0.5265840291976929,0.20175714790821075,0.0022875291761010885,0.07876051962375641,0.016569051891565323,0.7075347900390625,0.4265206754207611,0.00289999321103096,0.0003312912886030972,0.0013215226354077458,0.010033520869910717,0.004970978479832411,5.92509240959771e-06,0.0002470875042490661,0.004077374469488859,0.003510197391733527,0.016414746642112732,0.015482498332858086,0.007464500144124031,0.0030940647702664137,0.022128166630864143,0.018639959394931793,0.03618115559220314,0.06546647846698761,0.0029620768036693335,1.8570015527075157e-05,0.0026497584767639637,0.0023124844301491976,0.011053092777729034,0.06569515913724899,0.12622150778770447,0.10969076305627823,0.1485900580883026,0.21834175288677216,0.14487594366073608,0.2508115768432617,2.763227485047537e-06,1.0751896297733765e-06,7768.702,7778.388,9.685999999999694,7770.316333333333,0
2.6361749405623414e-06,0.5162818431854248,0.6020400524139404,6.191785359987989e-05,0.0016252680215984583,0.001248139189556241,1.7641024896875024e-05,1.6539596003894985e-07,2.1697343299820204e-07,0.42043155431747437,0.2535754144191742,0.2528983950614929,0.2232588231563568,0.032182011753320694,0.1959066092967987,0.18798373639583588,0.01894761249423027,0.06714807450771332,0.07898768037557602,0.8631824851036072,0.7742183208465576,0.0015498778084293008,0.0014034234918653965,2.6394796805107035e-05,0.0026266323402523994,0.11266380548477173,0.00025703091523610055,0.09452158212661743,0.003647367935627699,0.004250706173479557,0.0005124092567712069,0.000715318659786135,0.0006377602694556117,0.0017139227129518986,0.00026937821530736983,0.0002464181452523917,0.013728799298405647,0.009455190040171146,0.09632059931755066,0.0007595396018587053,0.05684991925954819,0.04683927074074745,0.03787299245595932,0.003931686747819185,4.670756607083604e-05,3.4439897717675194e-05,0.0003443807072471827,0.0010174737544730306,1.5828261894057505e-05,1.8492486560717225e-05,1.5027478639240144e-07,4.17771929051014e-07,7794.301,7799.077,4.77599999999984,7795.097000000001,0
