w_facial,w_vocal,w_verbal,kendall_tau
0.09784296501149996,0.6276139633959614,0.27454307159253855,0.41203721366482426
0.729092004503085,0.13546540941426943,0.1354425860826456,0.7657410689905835
0.0200119501874526,0.6726183177105184,0.3073697321020289,0.28425938111258664
0.25890493093112465,0.004373639091215078,0.7367214299776603,0.4638890877439932
0.8026024923499441,0.10723696528112109,0.09016054236893489,0.7379632793053145
0.15474872732017797,0.2770607756460601,0.5681904970337619,0.389814981916609
0.3046859769719794,0.18545189156142977,0.5098621314665907,0.5842595097134924
0.15780486043324113,0.36292607039767033,0.4792690691690884,0.4324075927673549
0.2569771277126353,0.6490258916101708,0.0939969806771939,0.7324077213682606
0.43310547649929537,0.5383635927629493,0.02853093073775539,0.7361114266596298
0.7862860496381189,0.1571686458269391,0.05654530453494223,0.7250003107855223
0.3718667069087166,0.42150531350147086,0.20662797958981252,0.9601855967874668
0.2244157914592176,0.06348919144263249,0.7120950170981499,0.4324075927673549
0.41619664065684514,0.0933800683775676,0.4904232909655871,0.6583336155408764
0.012795366992628511,0.8777086435721796,0.10949598943519176,0.24722232819889453
0.4951224874668689,0.17026497160190265,0.3346125409312286,0.7842595954474295
0.17628115924849175,0.04553687509189178,0.7781819656596166,0.3824075713338706
0.227841399620259,0.4282919205848592,0.34386667979488167,0.6064817414617076
0.25640787193485665,0.7175151026642486,0.026077025400894675,0.5972224782332846
0.3315375180600346,0.07034281300684257,0.5981196689331227,0.5546298673825387
0.19124863868479633,0.12301976698979318,0.6857315943254103,0.3842594239795552
0.2840327747033116,0.21230526664998864,0.5036619586466998,0.5472224567998003
0.08211342689398077,0.8760045015932215,0.04188207151279752,0.3453705184201785
0.7181482308211299,0.24514369686409151,0.036708072314778746,0.71203734226573
0.001894735101612746,0.578230750968461,0.41987451392992625,0.23796306497047154
0.45687586519768314,0.5162051463681092,0.0269189884342076,0.7435188372423682
0.17369599128966215,0.04818885470728767,0.7781151540030502,0.3824075713338706
0.676208108096664,0.27830871630428217,0.04548317559905388,0.730555868722576
0.17962686973610914,0.18966982687956416,0.6307033033843268,0.39537053985366283
0.26455539335062866,0.5688566029369793,0.166588003712392,0.8083336798413293
0.045378453005219886,0.44502124443278296,0.5096003025619972,0.29537049698669426
0.2766029860648789,0.494827714289667,0.22856929964545425,0.800926269258591
0.5589903478229773,0.42155153551358915,0.0194581166634335,0.730555868722576
0.09860460463273812,0.027580614499026452,0.8738147808682354,0.273148265238479
0.10878809269026386,0.20479008871973284,0.6864218185900032,0.30833346550648644
0.1289426649442076,0.23756143299551882,0.6334959020602735,0.3398149604831247
0.38091819690925793,0.11744638833228357,0.5016354147584585,0.6305558258556074
0.03922852834402797,0.5924051938401458,0.3683662778158262,0.29722234963237887
0.214285257951744,0.4380797007102858,0.34763504133797,0.5787039517764385
0.06428057270151538,0.6944363421778187,0.24128308512066587,0.36944460281407837
0.38361082910852223,0.527264334191432,0.08912483670004583,0.8342596168809139
0.12505372013436253,0.2774606793443002,0.5974856005213373,0.3453705184201785
0.4627267259824701,0.5353786181553463,0.0018946558621836527,0.7027780790373069
0.4745855257957939,0.3586717709524244,0.16674270325178167,0.9009263121255595
0.03752314714293831,0.12105309252667135,0.8414237603303905,0.19722230676541025
0.16712182080825919,0.31313216335222976,0.519746015839511,0.4231483295389319
0.06189920048365451,0.4886201605446552,0.44948063897169016,0.31574087608922485
0.2171684726844355,0.5148495087401708,0.2679820185753937,0.6101854467530767
0.25526763264633795,0.02861777755319337,0.7161145898004686,0.4638890877439932
0.6479794148883843,0.049027135483984206,0.3029934496276316,0.7638892163448989
0.8473384580287129,0.09713942448644472,0.05552211748484242,0.7194447528484684
0.12944605299037013,0.8171896891198484,0.05336425788978153,0.4620372350983085
0.39539234693091263,0.5084030368324056,0.09620461623668178,0.8527781433377598
0.471707037756912,0.16602464730889066,0.3622683149341974,0.7601855110535296
0.5380049972995683,0.4112786828382134,0.050716319862218195,0.7675929216362681
0.752494651550155,0.16138026626849972,0.08612508218134517,0.7472225425337374
0.02013765169120952,0.4323493166851159,0.5475130316236747,0.2546297387816329
0.016875763454987425,0.7240151827216473,0.2591090538233652,0.27129641259279436
0.4313695890160119,0.07977057522553552,0.4888598357584526,0.6675928787692995
0.1439279247978913,0.8125237502228593,0.04354832497924945,0.48240761420083916
0.13353506150768676,0.038557382979360545,0.8279075555129527,0.3305556972547017
0.6037634021324071,0.08583913382454117,0.31039746404305163,0.7787040375103758
0.5206918829880781,0.24821023694582384,0.23109788006609813,0.8768522277316597
0.10449269187840092,0.03688159655475498,0.8586257115668442,0.28240752846690204
0.6195192941987034,0.26928222950067315,0.1111984763006235,0.7990744166129063
0.10744212254479932,0.3237676868819901,0.5687901905732107,0.3453705184201785
0.4619081003253545,0.3205337660848781,0.2175581335897674,0.9157411332910363
0.034434712448289405,0.06906953420594836,0.8964957533457623,0.19351860147404104
0.8891645545314215,0.008810276821506308,0.10202516864707223,0.721296605494153
0.8579103792871556,0.0039970276852902935,0.13809259302755422,0.7324077213682606
0.26274055494062215,0.38875117389943675,0.34850827115994115,0.6490743523124535
0.14345902756529266,0.7035497008615366,0.1529912715731708,0.5231483724059005
0.13984639237371033,0.4875564852080156,0.37259712241827414,0.44351870864146253
0.49738400484174694,0.28177334139132015,0.22084265376693293,0.8916670488971365
0.11371632567182256,0.5300017844775718,0.35628188985060566,0.41203721366482426
0.06369276038032336,0.8225877364895003,0.11371950313017633,0.3453705184201785
0.4630654715588086,0.2074661559601898,0.32946837248100164,0.7953707113215371
0.31223573426115026,0.3845329702866843,0.30323129545216543,0.7620373636992143
0.11879052376637675,0.7009701415823247,0.18023933465129863,0.4731483509724162
0.019591016341379865,0.825271181986636,0.15513780167198415,0.2861112337582712
0.337363155460469,0.3680345854776456,0.2946022590618854,0.800926269258591
0.1484837005133142,0.005003332230153955,0.8465129672565318,0.34351866577449397
0.07684568161820927,0.4675650846147629,0.4555892337670277,0.3398149604831247
0.696609755662995,0.12671453882477898,0.17667570551222614,0.7879633007387988
0.7706478406000515,0.15421085215707087,0.07514130724287751,0.7398151319509991
0.17110210689455846,0.5785064635546089,0.2503914295508327,0.5546298673825387
0.4440660232750137,0.05377965361242831,0.5021543231125578,0.6546299102495072
0.8395087011737,0.027480149439579254,0.1330111493867208,0.7361114266596298
0.45202162808344376,0.2907853650691405,0.2571930068474157,0.8731485224402905
0.6045290861201931,0.22215280293063516,0.17331811094917188,0.8212966483611216
0.3105644275067499,0.31130528362195514,0.378130288871295,0.6842595525804609
0.633830286851903,0.18566580144428477,0.18050391170381222,0.8120373851326986
0.4146228588528759,0.27186204580101125,0.3135150953461127,0.8138892377783832
0.3774854820149645,0.5245010397821833,0.09801347820285207,0.847222585400706
0.3286262324506249,0.06887146702549315,0.602502300523882,0.5509261620911695
0.025322699024179687,0.43348633977959655,0.5411909611962237,0.2601852967186868
0.26748568238141895,0.7079745272591942,0.024539790359386887,0.6083335941073922
0.01719218659523959,0.7810982172959581,0.20170959610880237,0.2861112337582712
0.05796842758229435,0.31509963299273364,0.6269319394249719,0.28240752846690204
0.18593419314056392,0.7458381130627546,0.06822769379668149,0.5750002464850694
0.033397705499651244,0.47700695080899974,0.48959534369134894,0.27685197052984817
0.1681631354050983,0.21464424883614652,0.6171926157587554,0.3787038660425014
0.2688011019674975,0.14434670363563162,0.586852194396871,0.5046298459490544
0.3237708800214549,0.5924753393902298,0.08375378058831541,0.7898151533844833
0.0050143499659407445,0.6419629280385774,0.35302272199548196,0.24722232819889453
0.6244163872048456,0.275779938287404,0.0998036745077504,0.7861114480931142
0.13556330035582795,0.2295019528322724,0.6349347468118995,0.34351866577449397
0.47107936552957785,0.40553400320983557,0.12338663126058654,0.8824077856687135
0.590637932703909,0.2552769693583828,0.1540850979377084,0.8212966483611216
0.5330561095781287,0.3065468995297107,0.16039699089216064,0.856481848629129
0.23496316855666566,0.757295001074324,0.007741830369010333,0.5546298673825387
0.5818286848377707,0.22208439208269254,0.1960869230795367,0.837963322172283
0.5099094785168323,0.32063470343337513,0.1694558180497924,0.8824077856687135
0.07245766157423153,0.47611088748222535,0.4514314509435431,0.3342594025460709
0.15006323344749403,0.44886023324091157,0.40107653331159443,0.44722241393283174
0.4756974787407237,0.5012504427395168,0.023052078519759444,0.7435188372423682
0.21812046854973627,0.45685341293756293,0.32502611851270086,0.5990743308789692
0.6077776531820033,0.3365420060044088,0.05568034081358786,0.7564818057621605
0.06485242409771076,0.9113368832705655,0.023810692631723824,0.3268519919633325
0.19347372919571776,0.6184450453654297,0.1880812254388526,0.6342595311469766
0.2301083857568951,0.4828040689549315,0.2870875452881733,0.6361113837926613
0.1916985337875866,0.6897247816813465,0.11857668453106673,0.6342595311469766
0.5578257343710126,0.40476438405074333,0.037409881578244084,0.7490743951794221
0.3658238300985803,0.5405886584534983,0.09358751144792142,0.8398151748179676
0.07504561386730009,0.8690893598042213,0.055865026328478506,0.3250001393176479
0.16914057542675212,0.8204919141142114,0.010367510459036508,0.4916668774292622
0.7866623484567152,0.15461334573806895,0.05872430580521578,0.7287040160768914
0.2785162588260525,0.2314206411589303,0.4900631000150171,0.5379631935713772
0.40415145847658,0.49503568973013556,0.10081285179328432,0.8620374065661829
0.06050657128917252,0.4301821019842771,0.5093113267265504,0.3212964340262787
0.823617724590119,0.09410125119180468,0.08228102421807627,0.7287040160768914
0.3267200262572504,0.09089410633291176,0.582385867409838,0.5583335726739079
0.5006016460840523,0.14349770898072978,0.3559006449352179,0.7638892163448989
0.36560739970850487,0.02832896750541491,0.6060636327860801,0.5824076570678077
0.24771668733941557,0.6164980562155253,0.13578525644505915,0.7564818057621605
0.817609701002649,0.1784460045879564,0.003944294409394716,0.6675928787692995
0.8307502653407672,0.03372654915886588,0.13552318550036688,0.7361114266596298
0.43707272748924436,0.43867361508505204,0.1242536574257036,0.8861114909600827
0.5147307461107082,0.3065083285260053,0.1787609253632864,0.8861114909600827
0.1369064083170178,0.3835309735779186,0.4795626181050636,0.4138890663105088
0.4866147109387533,0.48370892053319353,0.029676368528053176,0.7472225425337374
0.44323685224186554,0.03852481856726502,0.5182383291908695,0.6435187943753997
0.18197086971480333,0.6830268596770777,0.1350022706081189,0.6101854467530767
0.07271508296937997,0.09012012212918655,0.8371647949014336,0.24351862290752535
0.831977458875972,0.09211291134056321,0.0759096297834649,0.7250003107855223
0.4013405537018011,0.02511555386848035,0.5735438924297187,0.6009261835246538
0.8759368436583361,0.06067115244861965,0.06339200389304421,0.7138891949114146
0.8224070066806621,0.08934747196421716,0.08824552135512075,0.730555868722576
0.18855261194087083,0.33108197178470145,0.4803654162744278,0.45648167716125476
0.7145572286555928,0.24093592602880004,0.044506845315607155,0.7194447528484684
0.5229651206597603,0.28473146253466863,0.192303416805571,0.8768522277316597
0.7483474906328611,0.03724936848377256,0.21440314088336646,0.7453706898880528
0.016272208670737358,0.901144779440199,0.08258301188906364,0.23240750703341773
0.09736925306103843,0.09624171850323886,0.8063890284357227,0.27129641259279436
0.24825748380058205,0.15858977063062266,0.5931527455687952,0.47685205626378535
0.1656681832252101,0.1186518519737741,0.7156799648010159,0.3601853395856554
0.07092747238385677,0.9256453068688262,0.0034272207473170883,0.32870384460901714
0.6076169042215978,0.00765374540958339,0.38472935036881883,0.7250003107855223
0.12970104084569878,0.8570440771709933,0.013254881983307992,0.44166685599577793
0.16042317597164196,0.6924042987479755,0.14717252528038252,0.5564817200282234
0.355952054780686,0.42669324942481535,0.21735469579449865,0.9250003965194594
0.23630079224030145,0.21001961199611185,0.5536795957635868,0.47685205626378535
0.013759361924357187,0.09757649563429739,0.8886641424413455,0.1768519276628796
0.5836771878446138,0.16064710580904318,0.2556757063463431,0.8194447957154369
0.28095066597079005,0.18022800377281356,0.5388213302563963,0.5287039303429543
0.31293333183240934,0.6289795600783553,0.05808710808923543,0.7379632793053145
0.40068705628112256,0.4683514771207757,0.13096146659810165,0.9027781647712442
0.27242959344177,0.13136976384310883,0.5962006427151212,0.515740961823162
0.3078126585684222,0.047324991118952116,0.6448623503126257,0.5287039303429543
0.2874788193106803,0.4974344644869697,0.21508671620234998,0.8268522062981755
0.2267658552417338,0.1292499081043379,0.6439842366539283,0.45092611922420095
0.9649638853434223,0.02221044762810585,0.012825667028471863,0.6731484367063533
0.07266585731781436,0.255935134869969,0.6713990078122167,0.28796308640395585
0.10556193182203012,0.5839398032321723,0.3104982649457975,0.4138890663105088
0.48853883063846254,0.2573845015429199,0.25407666781861743,0.8675929645032366
0.42511348603869586,0.3601914122906641,0.21469510167064007,0.9490744809133592
0.015537787591688943,0.5356509180688355,0.4488112943394757,0.2546297387816329
0.5567830748152373,0.3879877920015147,0.05522913318324809,0.7694447742819527
0.2342119523329944,0.46292626228428807,0.3028617853827175,0.6342595311469766
0.278232868823648,0.5863518308337038,0.1354153003426482,0.8083336798413293
0.7210809885599322,0.21814572873814747,0.060773282701920325,0.7379632793053145
0.4420098044234096,0.3820241389008431,0.17596605667574736,0.9305559544565132
0.0612311708540044,0.5656032056321748,0.3731656235138208,0.3305556972547017
0.35866398232952285,0.17797623905974633,0.4633597786107308,0.6435187943753997
0.21587377409103642,0.22134903689082178,0.5627771890181418,0.4601853824526239
0.749046156751271,0.2086117880995713,0.042342055149157655,0.7175929002027838
0.39159748644791975,0.26951465319494816,0.3388878603571322,0.7750003322190064
0.5975899441206195,0.3658495068567259,0.03656054902265465,0.7379632793053145
0.23705189260862644,0.4894919396651263,0.2734561677262472,0.6638891734779303
0.17181495098454783,0.7003353556168941,0.12784969339855798,0.5842595097134924
0.2616613139473411,0.555171192670583,0.18316749338207577,0.7972225639672218
0.16375318878305767,0.33372601256913653,0.5025207986478057,0.4250001821846165
0.046134125479944194,0.7573884476372567,0.19647742688279912,0.3398149604831247
0.0618887444439643,0.1273234067405177,0.8107878488155179,0.23055565438773312
0.3261046718027845,0.19158764707565887,0.4823076811215566,0.613889152044446
0.5587569292303316,0.16051976951225225,0.2807233012574162,0.8120373851326986
0.30364974831480024,0.3651282882628165,0.3312219634223832,0.7194447528484684
0.6210447870750281,0.12174047474872596,0.257214738176246,0.800926269258591
0.5656725545032719,0.16000947669952795,0.2743179687972001,0.8138892377783832
0.4255752951204173,0.4805305045871968,0.09389420029238592,0.8416670274636522
0.26195560161621245,0.46226607198614117,0.2757783263976463,0.7083336369743608
0.11070083034162473,0.15321247223726053,0.7360866974211147,0.29537049698669426
0.16696466656196238,0.3272799291084836,0.505755404329554,0.42870388747598565
0.4159040644971663,0.014226645398236544,0.5698692901045971,0.6009261835246538
0.314635963074597,0.027146653012067375,0.6582173839133354,0.5268520776972697
0.8675739358644836,0.021554421752572255,0.11087164238294415,0.7268521634312068
0.5089319868111366,0.42780423502421516,0.06326377816464825,0.7805558901560603
0.172675855476509,0.34019644258767257,0.4871277019358185,0.43796315070440867
0.47108856281826866,0.2251792012037274,0.303732235978004,0.8157410904240678
0.8073909322711142,0.021925554630478045,0.17068351309840765,0.7416669845966837
0.29594521685009284,0.5342838914395488,0.16977089171035847,0.8675929645032366
0.5180844764115217,0.07732517241423456,0.40459035117424375,0.721296605494153
0.562589723287336,0.2053980026727833,0.2320122740398808,0.8527781433377598
0.5366304628432651,0.02297061546209245,0.44039892169464245,0.6972225211002532
0.3118080033490024,0.5207576237844967,0.16743437286650098,0.8898151962514519
0.5205982028356243,0.21190283603820087,0.26749896112617494,0.8490744380463907
0.6659211973927287,0.2951803263968517,0.0388984762104197,0.7287040160768914
0.25485007118909864,0.29245752459033314,0.4526924042205682,0.5490743094454849
0.5457787581077966,0.1318333875446826,0.32238785434752076,0.7898151533844833
0.19318690333115135,0.4446127379440281,0.3622003587248206,0.5305557829886389
0.07753892832662193,0.7585022220076386,0.1639588496657395,0.389814981916609
0.49776042943038484,0.19731233243053384,0.30492723813908135,0.8064818271956448
0.4251843094296597,0.26381703650955096,0.31099865406078947,0.8268522062981755
0.11999809796579808,0.06807965358499343,0.8119222484492085,0.3064816128608019
0.061707669059633465,0.5485006566439771,0.38979167429638945,0.3324075499003863
0.8657830840692022,0.025473587805167015,0.10874332812563078,0.7268521634312068
0.4849980241030689,0.2788786950040909,0.23612328089284024,0.8935189015428212
0.18756676263135966,0.11784398236348996,0.6945892550051505,0.380555718688186
0.6146870889739636,0.18870480755198327,0.19660810347405325,0.8194447957154369
0.16398933629138696,0.7326281302816836,0.10338253342692959,0.5861113623591769
0.23649012259217653,0.33509024874637816,0.4284196286614453,0.5472224567998003
0.2067422633248116,0.0908427760967176,0.7024149605784709,0.41203721366482426
0.24702111773943553,0.6313664645039063,0.12161241775665825,0.7453706898880528
0.44637651711587434,0.51742016506458,0.036203317819545604,0.7472225425337374
0.6616900503130235,0.23274446886470618,0.1055654808222703,0.7861114480931142
0.6918681528711579,0.05851225618849956,0.24961959094034267,0.7601855110535296
0.10253975876684629,0.3991984874514663,0.49826175378168736,0.36574089752270916
0.4365573488872727,0.307539955738703,0.2559026953740243,0.8861114909600827
0.08833128850426018,0.5461073337785648,0.36556137771717495,0.371296455459763
0.6988031532371671,0.027660675368110947,0.27353617139472197,0.7472225425337374
0.912021110838468,0.06545426763368885,0.0225246215278432,0.6768521419977226
0.33368577195858257,0.21097500791799978,0.45533922012341765,0.6324076785012921
0.0767454161193318,0.8084716623385089,0.11478292154215947,0.3731483081054476
0.08746558171289821,0.0878225879059991,0.8247118303811027,0.2583334440730022
0.4801181019806399,0.32486151354559767,0.19502038447376235,0.908333722708298
0.488676392401731,0.11611356432428101,0.39521004327398795,0.7268521634312068
0.34574331240549666,0.28287226575463376,0.37138442183986947,0.7138891949114146
0.14734656213199204,0.565638021131025,0.28701541673698283,0.5009261406576851
0.08672464018940323,0.7543172392920171,0.15895812051857952,0.41203721366482426
0.18978045085209,0.5733699431884421,0.23684960595946786,0.5990743308789692
0.031688594213881774,0.7164442489191025,0.25186715686701566,0.3027779075694326
0.1907687580766649,0.07015459944168982,0.7390766424816454,0.3916668345622936
0.2435578926572479,0.1918749866554601,0.5645671206872921,0.47685205626378535
0.7428094719599925,0.07862708869952,0.17856343934048763,0.7583336584078452
0.16982458773810347,0.8098991962451485,0.020276216016748068,0.5009261406576851
0.19285786655642256,0.32856713099058327,0.47857500245299417,0.4620372350983085
0.18544079819516493,0.76262913494283,0.051930066862005096,0.5546298673825387
0.7446016131458217,0.05419550120526963,0.20120288564890865,0.7527781004707913
