AU1,AU4,AU6,AU12,AU15,AU17,audio,speaker,start,end,duracion
0.0003389228804735467,0.338520479388535,0.30254223477095366,0.034287169692106545,0.003739048363058828,0.3344549806788564,huila,SPEAKER_06,26252.74,26253.81,1.06
,,,,,,huila,SPEAKER_06,26255.38,26256.29,0.91
,,,,,,huila,SPEAKER_06,26257.98,26258.8,0.83
,,,,,,huila,SPEAKER_06,26260.22,26262.45,2.23
,,,,,,huila,SPEAKER_06,26264.74,26265.84,1.1
,,,,,,huila,SPEAKER_06,26266.21,26267.0,0.79
,,,,,,huila,SPEAKER_06,26267.37,26268.37,1.0
,,,,,,huila,SPEAKER_06,26269.84,26272.08,2.24
,,,,,,huila,SPEAKER_06,26272.71,26273.8,1.1
0.00033204635493396044,0.3219099727116133,0.5198067434524235,0.0010267986952768344,0.001732953655607018,0.06919413373658531,huila,SPEAKER_06,26275.0,26276.28,1.28
,,,,,,huila,SPEAKER_06,26279.79,26280.77,0.98
,,,,,,huila,SPEAKER_06,26281.23,26282.49,1.27
,,,,,,huila,SPEAKER_06,26285.19,26286.75,1.55
,,,,,,huila,SPEAKER_06,26288.3,26289.65,1.35
,,,,,,huila,SPEAKER_06,26291.35,26293.92,2.57
0.00021374985172534016,0.7668667104509141,0.13733879421596173,0.05663650553604519,8.516339719925006e-05,0.8740830333144577,huila,SPEAKER_06,26295.44,26297.26,1.82
0.00025377908988096013,0.7603062830473247,0.13287603855133057,0.041734640339487476,9.632706439189956e-05,0.8927895928684034,huila,SPEAKER_06,26298.93,26299.57,0.64
,,,,,,huila,SPEAKER_06,26302.32,26303.2,0.88
,,,,,,huila,SPEAKER_06,26303.98,26304.03,0.05
,,,,,,huila,SPEAKER_06,26304.09,26305.56,1.47
,,,,,,huila,SPEAKER_06,26306.78,26307.47,0.69
,,,,,,huila,SPEAKER_06,26308.03,26310.25,2.23
,,,,,,huila,SPEAKER_06,26311.45,26312.25,0.79
,,,,,,huila,SPEAKER_06,26314.37,26316.18,1.81
,,,,,,huila,SPEAKER_06,26320.11,26321.68,1.57
,,,,,,huila,SPEAKER_06,26323.16,26324.28,1.11
,,,,,,huila,SPEAKER_06,26324.75,26326.17,1.42
,,,,,,huila,SPEAKER_06,26326.72,26327.65,0.93
,,,,,,huila,SPEAKER_06,26327.87,26329.1,1.23
,,,,,,huila,SPEAKER_06,26332.98,26334.33,1.35
,,,,,,huila,SPEAKER_06,26336.09,26338.23,2.14
