audio,n_segmentos_au,cara_detectada,AU1_angustia,AU4_ceno,AU6_squint,AU12_sonrisa,AU15_tristeza,distress_facial,sonrisa_genuina,icm_score,rep_texto,y8_mafapo
casanare_torres,903,780,0.097,0.0756,0.4035,0.091,0.0015,0.0501,0.2136,0.1901,,0.1929
catatumbo,1168,646,0.1019,0.1835,0.3977,0.1305,0.011,0.0546,0.1461,0.2722,,0.2068
dabeiba_antioquia,424,104,0.0406,0.2748,0.3849,0.1397,0.0084,0.0265,0.0643,0.2916,,0.1894
huila,1864,372,0.0104,0.3501,0.4788,0.0856,0.0019,0.0241,0.0563,0.2998,,0.1862
