_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,start,end,dur,seg_idx
9.007937364913232e-07,0.01551649160683155,0.2724947929382324,0.011729954741895199,0.08336267620325089,0.003596321912482381,6.416791620722506e-06,2.2598316107291794e-08,7.911316401987278e-08,0.2201525717973709,0.3996177911758423,0.040386904031038284,0.18311066925525665,0.025476830080151558,0.5435612201690674,0.3411378860473633,0.0017995147500187159,0.28824976086616516,0.061384670436382294,0.6073418855667114,0.5237602591514587,0.005902781616896391,0.00023254132247529924,3.906626079697162e-05,0.03660014271736145,0.004799931775778532,1.0307123829988996e-06,0.0015861222054809332,0.004872651305049658,0.0004404211067594588,0.017302511259913445,0.03448312357068062,0.000521771376952529,0.023061411455273628,0.00014440958329942077,0.00012695969780907035,0.03342313691973686,0.05081037059426308,0.008848483674228191,5.007733761885902e-06,0.013893884606659412,0.005907755810767412,0.11478109657764435,0.015385886654257774,0.0005348034319467843,0.0004076422774232924,0.0021418414544314146,0.016856536269187927,6.899406434968114e-05,0.00016284245066344738,6.902859581714438e-07,3.0376693871403404e-07,7557.663,7561.207,3.5440000000007785,22
2.0703212157968665e-06,0.5642811059951782,0.46792080998420715,0.0002047509915428236,0.00117458903696388,0.0010636115912348032,0.0004089268622919917,1.3125212205977732e-07,2.9802680501234136e-07,0.3316373825073242,0.32647305727005005,0.3089562952518463,0.3252180218696594,0.04446953162550926,0.17965781688690186,0.16279751062393188,0.022529788315296173,0.05185334011912346,0.05250699445605278,0.7499009966850281,0.7306689620018005,0.002803074661642313,0.0006388419424183667,0.002392977010458708,0.026936819776892662,0.08653531223535538,1.355225049337605e-05,0.009349416941404343,0.023901714012026787,0.005440338049083948,0.0006580404005944729,0.0007604800048284233,0.003524651052430272,0.0014140758430585265,0.03084106184542179,0.05935857445001602,0.08882450312376022,0.04916168004274368,0.0007018813630566001,2.6005844119936228e-05,0.005753424018621445,0.04284917563199997,0.0003131022967863828,0.001414399710483849,0.26339781284332275,0.13480576872825623,0.04957634583115578,0.06498531997203827,0.004271169658750296,0.004000031854957342,3.234547705233126e-07,1.8285585383637226e-06,7572.513,7576.293,3.7799999999997453,28
2.076309044696245e-07,0.03440270572900772,0.1068277657032013,0.009454568848013878,0.09423708915710449,0.00821574404835701,7.763360372337047e-06,5.753262399821324e-08,4.3906137392468736e-08,0.03516855090856552,0.07919846475124359,0.023747822269797325,0.03048882819712162,0.006361210253089666,0.5506536364555359,0.5615161657333374,0.006734146270900965,0.30881914496421814,0.3138960897922516,0.28349387645721436,0.524626612663269,0.028804317116737366,0.006053369492292404,2.5230303435819224e-05,0.027550896629691124,0.00486690504476428,6.892611509101698e-06,0.0010777607094496489,0.002543546725064516,0.003827946027740836,0.001692288788035512,0.000551035045646131,0.0035070083104074,0.008486014790832996,0.00028874730924144387,0.0001277201808989048,0.0072055840864777565,0.014317919500172138,0.5067882537841797,6.862609006930143e-05,0.034008610993623734,0.021173523738980293,0.06286376714706421,0.004797483794391155,1.4496106814476661e-05,5.214199518377427e-06,0.03815684840083122,6.213226879481226e-05,2.969723027490545e-05,8.087573951343074e-05,2.554473894633702e-07,3.1307102688060695e-08,7581.187,7584.713,3.52599999999984,31
5.510146365850233e-07,0.14644068479537964,0.3364890217781067,0.001366223907098174,0.015589931979775429,0.0019920773338526487,1.3009622307436075e-05,1.7922111794632656e-08,2.3821911554477992e-08,0.20206864178180695,0.48001161217689514,0.11460611969232559,0.24054130911827087,0.06553271412849426,0.16043363511562347,0.11479395627975464,0.03120994381606579,0.13236220180988312,0.04972686246037483,0.6931294202804565,0.6114584803581238,0.0072585539892315865,0.0001638998364796862,1.5784382412675768e-05,0.030548248440027237,0.009338855743408203,3.5828870750265196e-06,0.003438499290496111,0.001983045367524028,0.00671324972063303,0.002815348794683814,0.0015515073901042342,0.0007841935730539262,0.023712890222668648,0.00021356494107749313,6.428360939025879e-05,0.027969377115368843,0.09666692465543747,0.04901842027902603,8.404129403061233e-06,0.07101572304964066,0.0291517972946167,0.19810426235198975,0.004276597872376442,9.078837319975719e-05,4.5425371354212984e-05,0.010427962988615036,0.00024212199787143618,2.577332270448096e-05,5.962636350886896e-05,8.817618635248436e-08,5.476864117781588e-08,7612.625,7616.945,4.319999999999709,43
9.101108275899605e-07,0.05991436913609505,0.2133021056652069,0.005723806098103523,0.062188439071178436,0.003648927668109536,0.00011348180851200595,9.334529238458344e-08,5.7339377690368565e-08,0.2912144362926483,0.6113879680633545,0.31165486574172974,0.34322717785835266,0.2673434317111969,0.02053350768983364,0.028796052560210228,0.25977274775505066,0.04370012879371643,0.021973177790641785,0.6609562635421753,0.6193695664405823,0.004105945583432913,8.27075564302504e-05,0.000444494973635301,0.06939138472080231,0.013945452868938446,1.1215806807740591e-06,0.00063073675846681,0.0010629992466419935,0.006384874694049358,0.039235908538103104,0.02860615774989128,0.002483442658558488,0.0005257309530861676,0.014552910812199116,0.011688260361552238,0.032392073422670364,0.13081198930740356,0.0011750347912311554,7.281203579623252e-05,0.007323822472244501,0.0077644954435527325,0.0053558251820504665,0.01163045596331358,0.00453033484518528,0.004559848457574844,0.0392921157181263,0.021030550822615623,0.005158067215234041,0.011864881962537766,8.321245559272938e-07,1.0901204632318695e-06,7617.147,7620.792,3.6450000000004366,44
1.334508738182194e-06,0.0033993555698543787,0.026752348989248276,0.058633409440517426,0.39717936515808105,0.019276060163974762,1.3912103895563632e-05,7.077024122281728e-08,4.6578986001577505e-08,0.1266556680202484,0.4412420392036438,0.11027118563652039,0.21534974873065948,0.0819714367389679,0.1467190384864807,0.08204951137304306,0.029523484408855438,0.11863237619400024,0.03692023083567619,0.5908087491989136,0.4740300476551056,0.008764547295868397,0.00023124594008550048,7.127852586563677e-05,0.0031740074045956135,0.0003864670288749039,9.929219686455326e-07,8.438622171524912e-05,0.006429245695471764,0.0032154773361980915,0.041084881871938705,0.0451335608959198,0.0004908632254227996,0.008402986451983452,0.00012247786798980087,8.118466212181374e-05,0.11910127848386765,0.1687626987695694,0.002951967529952526,1.7633976312936284e-05,0.0035914999898523092,0.00037676229840144515,0.2709742486476898,0.06617159396409988,0.0793599858880043,0.057519569993019104,0.07568182051181793,0.05910865217447281,0.0021102989558130503,0.0034410692751407623,1.4895144886395428e-06,4.2243576103828673e-07,7624.91,7630.225,5.315000000000509,47
1.005036438073148e-06,0.005707782227545977,0.007037249859422445,0.3008919954299927,0.09260814636945724,0.03390267491340637,5.970436177449301e-06,1.827089022299333e-07,7.827981107766391e-08,0.11216747760772705,0.11046606302261353,0.1296113133430481,0.14928129315376282,0.02050047554075718,0.28437498211860657,0.2946154773235321,0.012288221158087254,0.0789705216884613,0.07053841650485992,0.42687851190567017,0.36305510997772217,0.009452460333704948,0.002348244423046708,5.560429781326093e-05,0.00912501197308302,0.0006867372430860996,9.636587492423132e-07,0.00021803697745781392,0.010356782004237175,0.00031344997114501894,0.02544044516980648,0.032716795802116394,0.0015414680819958448,0.015399971045553684,7.091119914548472e-05,7.014301081653684e-05,0.042558349668979645,0.012029250152409077,0.040077950805425644,1.654283914831467e-05,0.004107023123651743,0.00047526179696433246,0.22242343425750732,0.06012105569243431,0.0022767859045416117,0.0006601695786230266,0.02758612670004368,0.007043425925076008,0.0021751909516751766,0.001339258742518723,1.662318140915886e-06,3.2946275041467743e-07,7630.799,7633.87,3.0709999999999127,48
2.307176828253432e-06,0.5492326021194458,0.49696430563926697,0.00038396602030843496,0.0004908491973765194,0.0011463550617918372,0.0006202387739904225,8.121255063997523e-07,6.980386615396128e-07,0.2888546288013458,0.17461387813091278,0.20994505286216736,0.20366714894771576,0.19012565910816193,0.03421729430556297,0.018803855404257774,0.19884730875492096,0.07493595033884048,0.09643854200839996,0.8142901062965393,0.773606538772583,0.0020280489698052406,0.0031685112044215202,0.002235198160633445,0.06935746222734451,0.2128320038318634,1.3800827218801714e-05,0.006177347619086504,0.005852729082107544,0.0014140501152724028,0.0010850292164832354,0.0010472649009898305,0.013097685761749744,0.029954945668578148,0.07623175531625748,0.10369633883237839,0.010802987962961197,0.013180537149310112,0.0035486805718392134,1.6059416338976007e-06,0.003882624441757798,0.027328994125127792,0.00028164740069769323,0.004822427406907082,0.6814804077148438,0.5083713531494141,0.04749799147248268,0.04067477956414223,0.029697690159082413,0.02127939648926258,2.927305615685327e-07,5.977352429908933e-06,7700.56,7708.07,7.509999999999309,70
1.4217384887160733e-06,0.32758593559265137,0.341456800699234,0.0013782070018351078,0.0024412418715655804,0.0016061341157183051,1.6266412785626017e-05,2.2168669033817423e-07,1.52275319464934e-07,0.2967590391635895,0.12597976624965668,0.11459581553936005,0.1118258535861969,0.0489133857190609,0.1367572396993637,0.12517958879470825,0.01990111544728279,0.11500532180070877,0.14567211270332336,0.7997919917106628,0.7604751586914062,0.0020893521141260862,0.002681176643818617,0.00012710943701677024,0.004835860803723335,0.006715335883200169,7.612303761561634e-06,0.002980658784508705,0.007628235500305891,0.0002785743563435972,0.0039622061885893345,0.005369078833609819,0.003965769894421101,0.01334388181567192,0.00032409888808615506,0.0006013233214616776,0.018551403656601906,0.004038508515805006,0.07457976788282394,2.1456198737723753e-05,0.005387723445892334,0.0030162855982780457,0.006583469454199076,0.009670193307101727,0.0014399922220036387,0.0004404601640999317,0.009976032190024853,0.0031984460074454546,0.00021708941494580358,0.00016236180090345442,5.86952694447973e-07,6.172537609927531e-07,7709.065,7712.153,3.0880000000006476,71
2.6379002520116046e-06,0.28055524826049805,0.6532690525054932,7.68660320318304e-05,0.006874395534396172,0.00037069444078952074,0.0007540631922893226,1.7872670809992997e-07,2.1729606203280127e-07,0.1678948700428009,0.41656678915023804,0.09219769388437271,0.1159040778875351,0.06621492654085159,0.07551605254411697,0.09193148463964462,0.07558522373437881,0.1529824584722519,0.10390807688236237,0.6768507957458496,0.6008598804473877,0.009217392653226852,0.00024402377312071621,0.0033517966512590647,0.021240800619125366,0.05989847704768181,2.0036364730913192e-05,0.001021991833113134,0.005651179701089859,0.01512561272829771,0.009759080596268177,0.00809873454272747,0.009015059098601341,6.436862895498052e-05,0.1458771526813507,0.237440824508667,0.03202162683010101,0.06289082020521164,0.0005216826102696359,0.0005215085693635046,0.004987037740647793,0.016375252977013588,0.0008779713534750044,0.01452404260635376,0.09680166095495224,0.11831358820199966,0.07514340430498123,0.09265123307704926,0.11026390641927719,0.2555827796459198,1.1418698022680474e-06,1.5936673207761487e-06,7763.167,7767.908,4.7409999999999854,79
1.8874007423619332e-07,0.00013546585978474468,0.015747973695397377,0.2694244384765625,0.7619373202323914,0.008471283130347729,8.702930244908202e-06,3.3865060089510735e-08,5.940250602520791e-08,0.026643916964530945,0.17553839087486267,0.007243169937282801,0.08687449246644974,0.13504372537136078,0.27863454818725586,0.07367073744535446,0.016965482383966446,0.5450456142425537,0.209750697016716,0.3726607859134674,0.2256828248500824,0.063960000872612,0.0017562940483912826,2.8270205802982673e-05,0.004984383471310139,0.0064817164093256,6.795786612201482e-05,0.001017170026898384,0.0007187420851550996,0.0040591564029455185,0.030321793630719185,0.0172300823032856,0.0003046429483219981,0.0010519936913624406,0.001070615486241877,0.0002639445010572672,0.019481148570775986,0.21360088884830475,0.017317701131105423,0.00018567222286947072,0.07241220772266388,0.026445388793945312,0.15612617135047913,0.0051506017334759235,2.5014562197611667e-05,3.540169564075768e-05,0.00837731547653675,0.00120364292524755,3.3552100831002463e-06,1.9623572370619513e-05,6.986620064708404e-07,5.6857572872104356e-08,7768.702,7778.388,9.685999999999694,80
1.7472405033913674e-06,0.004119120072573423,0.0018052669474855065,0.18423113226890564,0.17618434131145477,0.26793932914733887,0.0005852135363966227,2.5433555492782034e-06,7.601724405503774e-07,0.47715306282043457,0.3946121335029602,0.5598852634429932,0.45619839429855347,0.2765641510486603,0.10844767093658447,0.013122383505105972,0.0673583596944809,0.014648841693997383,0.02267824113368988,0.5538144111633301,0.6362823247909546,0.0012569039827212691,0.0015368617605417967,0.001402862137183547,0.006925560068339109,0.2581649720668793,0.00015441990399267524,0.010527234524488449,0.001038564252667129,0.004381647799164057,0.004379883874207735,0.002409981098026037,0.011779902502894402,0.0032021303195506334,0.07008377462625504,0.08504100888967514,0.0087088942527771,0.026331325992941856,0.004959701094776392,2.9314809580682777e-05,0.006905270274728537,0.027195515111088753,0.0008154701208695769,0.004389955662190914,0.6974002122879028,0.7241405248641968,0.1592404693365097,0.07266078144311905,0.05674697086215019,0.09114495664834976,5.785647658740345e-07,2.8942911285412265e-06,7794.301,7799.077,4.77599999999984,85
3.2246268233393494e-07,0.041037820279598236,0.07789065688848495,0.06862213462591171,0.048282962292432785,0.0020609048660844564,9.032693924382329e-06,7.257063572296829e-08,2.3805014848221617e-08,0.18744583427906036,0.39926329255104065,0.3506905436515808,0.41323965787887573,0.066010981798172,0.2399033010005951,0.19262787699699402,0.02204546332359314,0.033110663294792175,0.014265564270317554,0.4004960060119629,0.3337668776512146,0.008777469396591187,0.0003218069614376873,3.7063888157717884e-05,0.011008149944245815,0.0031622822862118483,1.7208943972946145e-05,0.0005168865900486708,0.0029004577081650496,0.0012515576090663671,0.018306057900190353,0.010092311538755894,0.002947186818346381,0.01867046393454075,0.00033937249099835753,0.00019368705397937447,0.015590781345963478,0.014478699304163456,0.23322251439094543,6.261014277697541e-06,0.03840143233537674,0.0026017571799457073,0.1198246106505394,0.023888614028692245,0.00010363074397901073,3.8204256270546466e-05,0.03528129681944847,0.000534927356056869,9.833748481469229e-05,0.0001575523492647335,4.878955905951443e-07,5.688176329954331e-08,7799.937,7804.173,4.235999999999876,86
1.708374952613667e-07,0.06207001954317093,0.04789799824357033,0.07779373973608017,0.10946864634752274,0.011217576451599598,4.435720256878994e-06,1.8661839362721366e-07,4.344587978266645e-08,0.07075320929288864,0.11423572897911072,0.016819167882204056,0.016881214454770088,0.6273840665817261,0.011606236919760704,0.007822062820196152,0.6510167121887207,0.38688457012176514,0.37567514181137085,0.29550066590309143,0.12367865443229675,0.010871769860386848,0.009681680239737034,0.00010819575254572555,0.0013087914558127522,6.193255103426054e-05,1.7432577806175686e-05,1.5732167639725958e-06,0.0011942641576752067,0.0019098850898444653,0.01251968927681446,0.004232751205563545,0.004887777846306562,0.0009295216877944767,0.0004812426632270217,0.0006981774931773543,0.01351527776569128,0.005680351052433252,0.495466023683548,0.0008386516128666699,0.0010950019350275397,0.0001735045952955261,0.040409281849861145,0.06047266721725464,0.0006336204241961241,0.0002779602073132992,0.11466583609580994,0.001066964352503419,0.0003778174286708236,0.0005813486641272902,9.913751455314923e-06,7.257533951587902e-08,7805.287,7814.753,9.46599999999944,87
7.155154548854625e-07,0.5068548321723938,0.45832130312919617,0.00031965828384272754,0.0016960946377366781,0.0007730736979283392,3.1450104870600626e-05,5.1987793625585255e-08,4.800589437081726e-08,0.17767472565174103,0.2576073408126831,0.11011054366827011,0.13898470997810364,0.052558526396751404,0.10015616565942764,0.11353464424610138,0.05272441357374191,0.13532382249832153,0.11126456409692764,0.7602746486663818,0.6154568195343018,0.007126377429813147,0.000614259100984782,0.0002531597565393895,0.009644522331655025,0.00687362439930439,6.460979875555495e-06,0.000858762301504612,0.0019054108997806907,0.0018128148512914777,0.011930486187338829,0.015638472512364388,0.0014716904843226075,0.0003786928136833012,0.0027712334413081408,0.00252677034586668,0.00965105090290308,0.03017709031701088,0.0043135350570082664,0.0001277951232623309,0.004575453698635101,0.005579980090260506,0.0027684106025844812,0.0035552307963371277,0.0010259716073051095,0.001031373394653201,0.006991227623075247,0.016129717230796814,0.00032619625562801957,0.0004344038898125291,5.882174036742072e-07,4.935816946272098e-07,7938.413,7944.134,5.721000000000458,119
1.1726588127203286e-06,0.6068646311759949,0.6279157996177673,8.5819759988226e-05,0.0007793924305588007,0.00023592448269482702,0.00013992823369335383,6.301715416157094e-08,9.564680425455663e-08,0.1333492249250412,0.20011289417743683,0.03923797607421875,0.04510512575507164,0.019479824230074883,0.2513498365879059,0.26670345664024353,0.01966092362999916,0.2945702373981476,0.2938435971736908,0.7080062031745911,0.7047621011734009,0.00865454412996769,0.0008442646358162165,0.0010170541936531663,0.032768819481134415,0.07147281616926193,9.858549674390815e-06,0.007061113137751818,0.004760772921144962,0.004968127701431513,0.0017530316254124045,0.0021452908404171467,0.0051925103180110455,0.0003964126808568835,0.029456552118062973,0.02862437255680561,0.015471084974706173,0.04371489956974983,0.0021912239026278257,0.00015970287495292723,0.00415981188416481,0.022006133571267128,0.00039083664887584746,0.0017584421439096332,0.004916215315461159,0.0057190232910215855,0.007420462556183338,0.01842232421040535,0.0009705592528916895,0.0016085270326584578,4.0653236510479474e-07,7.616324637638172e-07,7949.855,7954.31,4.455000000000837,122
1.2511969771367148e-06,0.3549087941646576,0.19972047209739685,0.0018124672351405025,0.0034634775947779417,0.02498471923172474,6.551455953740515e-06,7.206440955087601e-07,6.409021580111585e-07,0.6830483675003052,0.4932025969028473,0.7463152408599854,0.6965052485466003,0.152471125125885,0.11684276908636093,0.04277147725224495,0.06595538556575775,0.002994515234604478,0.007789439056068659,0.2969328761100769,0.6754627823829651,0.00030017044628039,0.0005742927896790206,9.396750101586804e-05,4.24023273808416e-05,0.000429542240453884,0.0015963149489834905,6.220471550477669e-05,0.009647514671087265,0.0024111540988087654,0.0006854112725704908,0.0006111929542385042,0.0028069973923265934,0.0005593282985500991,0.0002048449096037075,0.0003302613622508943,0.1365193873643875,0.020758137106895447,0.06040513515472412,0.002643920248374343,0.0024976066779345274,0.0002789674617815763,0.017008118331432343,0.034736163914203644,0.14593368768692017,0.07367777079343796,0.02937656082212925,0.02100498229265213,0.0001108158758142963,7.34982022549957e-05,4.091873506695265e-06,3.953115594867995e-07,14869.426,14877.239,7.813000000000102,151
