AU1,AU4,AU6,AU12,AU15,AU17,audio,speaker,start,end,duracion
0.11085485276766122,0.05395734409685247,0.38038379974663256,0.02240063922778063,0.07825673117560655,0.07375154450535774,dabeiba,SPEAKER_01,874.39,881.33,6.94
,,,,,,dabeiba,SPEAKER_01,881.99,889.75,7.76
0.17196346690373807,0.08816904741494606,0.49479396144549054,0.009897796628820288,0.03309630084762224,0.05898531229710594,dabeiba,SPEAKER_01,890.54,909.56,19.02
0.06382638398170694,0.06805133916888102,0.40528347424190975,0.05653420267402037,0.0008458118908463249,0.11247506140447829,dabeiba,SPEAKER_01,910.61,915.55,4.94
0.002864383414047412,0.43611102694502246,0.48811323883441776,8.646362229788232e-05,0.0002030111954109788,0.05975153470913378,dabeiba,SPEAKER_01,916.17,917.9,1.72
0.07394701822992036,0.32917269730504845,0.37651719615584417,0.0585461831707958,0.004921346866835151,0.2752872630108839,dabeiba,SPEAKER_01,930.99,940.68,9.69
,,,,,,dabeiba,SPEAKER_01,940.85,946.16,5.32
0.03616276662796736,0.190663680434227,0.7270852476358414,0.054534739116206765,0.006165889717522077,0.007197288956376724,dabeiba,SPEAKER_01,946.48,971.07,24.59
,,,,,,dabeiba,SPEAKER_01,971.56,975.34,3.78
0.019543971022358164,0.1506100671365857,0.5121235698461533,0.006591618097695573,0.0005268512017210014,0.1835119711700827,dabeiba,SPEAKER_01,975.59,997.77,22.17
0.11043458851054311,0.07424645218998194,0.6503252685070038,0.14232229925266893,0.0001223669241880998,0.07178031094372272,dabeiba,SPEAKER_01,997.97,1010.3,12.34
,,,,,,dabeiba,SPEAKER_01,1011.01,1014.91,3.9
,,,,,,dabeiba,SPEAKER_01,1014.98,1039.63,24.65
,,,,,,dabeiba,SPEAKER_01,1046.97,1047.9,0.93
,,,,,,dabeiba,SPEAKER_01,1048.04,1048.58,0.54
0.10323077221057081,0.3351988928387238,0.34692730297419155,0.14773231250800284,0.018126901273345455,0.2294902872434415,dabeiba,SPEAKER_01,1051.55,1091.29,39.74
,,,,,,dabeiba,SPEAKER_01,1097.43,1135.03,37.6
0.5170487463474274,0.002081030048429966,0.35394129157066345,0.3518993461305797,0.011191681085620075,0.1972580782530713,dabeiba,SPEAKER_01,1135.53,1158.26,22.73
,,,,,,dabeiba,SPEAKER_01,1159.09,1159.78,0.69
,,,,,,dabeiba,SPEAKER_01,1160.25,1162.82,2.57
,,,,,,dabeiba,SPEAKER_01,1163.17,1167.53,4.35
0.40970337949693203,0.0031693819910287857,0.5588909983634949,0.0027634900507109705,0.02600436154170893,0.08586134016513824,dabeiba,SPEAKER_01,1168.07,1185.38,17.31
,,,,,,dabeiba,SPEAKER_01,1185.6,1197.82,12.22
,,,,,,dabeiba,SPEAKER_01,1198.14,1209.92,11.78
,,,,,,dabeiba,SPEAKER_01,1210.44,1227.35,16.91
,,,,,,dabeiba,SPEAKER_01,1227.97,1255.51,27.54
0.03141214628703892,0.23824357924362025,0.3635995189348857,0.046479579682151474,0.012297036902358135,0.0411367571602265,dabeiba,SPEAKER_01,1283.43,1297.18,13.75
0.017963331928313425,0.31177213427428974,0.4521900938778389,0.023642298471891192,0.013924959515174034,0.28484658725423423,dabeiba,SPEAKER_01,1297.74,1313.73,16.0
0.010009289607923064,0.29898199058241315,0.3101635522312588,0.07245174233151677,0.013669741262510292,0.22021230420149449,dabeiba,SPEAKER_01,1314.24,1320.52,6.28
0.17003522425269088,0.017871003485917452,0.2547436368962129,0.0016024001013571858,0.014806421961111482,0.02480150364378157,dabeiba,SPEAKER_01,1321.29,1331.65,10.36
0.031045339862810745,0.2331423738294027,0.4560428642413833,0.04905564299528619,0.025826162451345558,0.21511753149944443,dabeiba,SPEAKER_01,1332.3,1343.45,11.15
0.0393353755822058,0.28953937873510377,0.37418288897190777,0.21239950128697924,0.006353373944875784,0.1120171436092018,dabeiba,SPEAKER_01,1344.02,1349.52,5.5
,,,,,,dabeiba,SPEAKER_01,1350.08,1362.91,12.83
0.03567422181367874,0.003447782713919878,0.3418608605861664,2.4986443136754133e-08,0.00012479133147280663,0.03919191285967827,dabeiba,SPEAKER_01,1363.35,1364.1,0.76
0.0336298499678378,0.2516526849940419,0.3840910494327545,0.1927014277100625,0.012542733922600746,0.07779569458216429,dabeiba,SPEAKER_01,1364.36,1374.89,10.53
,,,,,,dabeiba,SPEAKER_01,1375.16,1382.41,7.26
0.006370638021811222,0.09836266313989957,0.5236970658103625,0.0005163893668698923,0.007869419564182559,0.028444276967396338,dabeiba,SPEAKER_01,1382.67,1387.11,4.44
0.06742745754521214,0.20013139653504672,0.46409143212561804,0.0010140522038189677,0.025099679940467468,0.05775769935765614,dabeiba,SPEAKER_01,1387.81,1398.11,10.29
0.008486246205090234,0.02610216866661277,0.5877319753721908,0.024640759488403528,0.008130236528813839,0.40122840781178737,dabeiba,SPEAKER_01,1398.93,1405.43,6.5
0.003267467024644637,0.34688023855310995,0.6665271001202719,0.2409318895486649,0.00015571427272464332,0.021210925256517448,dabeiba,SPEAKER_01,1405.97,1411.86,5.89
0.028554967305223857,0.35396601259708405,0.26985401128019604,0.15119736061231898,0.0043210341183501965,0.04588954766014857,dabeiba,SPEAKER_01,1440.41,1465.54,25.13
0.09737161173731745,0.03263269205361961,0.42849432896165285,0.005221717717511317,0.08111276335896424,0.37995845642324316,dabeiba,SPEAKER_01,1465.89,1469.3,3.41
0.0558019665380319,0.01916968480994304,0.2646339337031047,0.020615912585829694,0.058390578614004575,0.024596286782373983,dabeiba,SPEAKER_01,1469.47,1471.45,1.97
,,,,,,dabeiba,SPEAKER_01,1472.09,1478.06,5.97
0.012864053616630145,0.44390354310162367,0.44979625483974817,0.05511103902342711,0.0033063630422702772,0.39929014961089704,dabeiba,SPEAKER_01,1800.03,1802.68,2.65
0.0065916913306328494,0.6098948328414865,0.5119317062199116,0.004561723118618894,0.013172063607590141,0.31941814356417,dabeiba,SPEAKER_01,1803.32,1805.19,1.87
0.002704942935583619,0.29608507542625856,0.4353149211720416,0.12757249813295415,0.008458810110536624,0.22377318183058187,dabeiba,SPEAKER_01,1805.85,1807.12,1.27
0.0025240337047514254,0.3677693939852444,0.6013488058339466,0.07093921871935228,0.004914413693168998,0.4563409018922936,dabeiba,SPEAKER_01,1807.54,1808.3,0.76
0.0009774824866326526,0.5217747027054429,0.5865636877715588,0.09624099531750592,0.004732624315086771,0.5636953992846733,dabeiba,SPEAKER_01,1808.7,1809.5,0.79
0.004495093578129615,0.5632917128748407,0.5109875075911221,0.26006449941611015,0.001854669298738468,0.6860723928009209,dabeiba,SPEAKER_01,1810.11,1813.31,3.21
0.004858501860975853,0.5025400308684961,0.5188643467346472,0.2053335143605151,0.013596508621942251,0.5194527133301433,dabeiba,SPEAKER_01,1813.65,1815.54,1.89
0.00856902466367208,0.5872272864868076,0.29897177446696716,0.2812579662467045,0.010895922119025523,0.8640908326132822,dabeiba,SPEAKER_01,1816.52,1822.42,5.91
0.007731273142343087,0.35935350262594445,0.3296134383590133,0.005487742609518507,0.0008318276083110527,0.33473769025618416,dabeiba,SPEAKER_01,1823.03,1824.84,1.81
