subcaso,SA_n2,NV_n2,REP_n2,DIS_n2
casanare,0.614,0.602,0.455,0.589
catatumbo,0.311,0.454,0.499,0.418
dabeiba,0.447,0.449,0.453,0.478
huila,0.468,0.46,0.513,0.471
costa_caribe,0.469,0.561,0.503,0.51
