subcaso,n,DIS,IEI
Casanare,1,0.5201,0.5697
Catatumbo,3,0.5091,0.451
CostaCaribe,5,0.4125,0.3652
Dabeiba,12,0.402,0.3701
Huila,26,0.3695,0.3545
