,y1_ebi,y2_sa,y4_nv,y8_mafapo_cs,y9_cidh_cs,y10_rep
y1_ebi,1.0,0.094,0.304,-0.106,-0.078,-0.01
y2_sa,0.094,1.0,0.302,-0.049,-0.08,0.034
y4_nv,0.304,0.302,1.0,-0.136,-0.119,0.025
y8_mafapo_cs,-0.106,-0.049,-0.136,1.0,0.859,-0.281
y9_cidh_cs,-0.078,-0.08,-0.119,0.859,1.0,-0.148
y10_rep,-0.01,0.034,0.025,-0.281,-0.148,1.0
