doc_id,section_id,corpus_type,y10_rep_v5
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,0.0
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,0.0
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,0.0
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,HECHOS,A-CE,0.0
0d799109865a9a1c946f34c99eb7dd27372d79c6adcd5aad2721ca3535a139ae,DECISIÓN,A-CE,0.0
0dbbebfd3378e61da701d999871c50a597e2c0c9087259ca6f4496ba330547fb,HECHOS,A-CSJ,0.0
0dbbebfd3378e61da701d999871c50a597e2c0c9087259ca6f4496ba330547fb,CONSIDERACIONES,A-CSJ,0.0
0dbbebfd3378e61da701d999871c50a597e2c0c9087259ca6f4496ba330547fb,DECISIÓN,A-CSJ,0.0
0ed77f2cfbb0dd802977892ac2f74ced8f0997e901f65ff326b1a24383a8014d,HECHOS,A-CSJ,0.0
0ed77f2cfbb0dd802977892ac2f74ced8f0997e901f65ff326b1a24383a8014d,CONSIDERACIONES,A-CSJ,0.0
0ed77f2cfbb0dd802977892ac2f74ced8f0997e901f65ff326b1a24383a8014d,DECISIÓN,A-CSJ,0.0
1017bb4b8803a7bc19c985b819db04d31c7ceb9ea89dcb490bf22e55e7b21310,HECHOS,A-CSJ,0.0
1017bb4b8803a7bc19c985b819db04d31c7ceb9ea89dcb490bf22e55e7b21310,CONSIDERACIONES,A-CSJ,0.0
1017bb4b8803a7bc19c985b819db04d31c7ceb9ea89dcb490bf22e55e7b21310,DECISIÓN,A-CSJ,0.0
101c3e12caf10998684a857b9e1944c517a646fd3a95eb52668ed22b6afb4847,CONSIDERACIONES,A-CE,0.0
101c3e12caf10998684a857b9e1944c517a646fd3a95eb52668ed22b6afb4847,DECISIÓN,A-CE,0.0
106207e34d1fde6cc55bdea86edabf25cf31ebd5a39d5abd7a682be041c84ca6,DECISIÓN,A-CE,0.9062500000000001
11c114614955769118b19cb9b78875fec45fc67acf2a040cd0127ef278738517,CONSIDERACIONES,A-CE,0.0
11c114614955769118b19cb9b78875fec45fc67acf2a040cd0127ef278738517,DECISIÓN,A-CE,0.0
11c114614955769118b19cb9b78875fec45fc67acf2a040cd0127ef278738517,DECISIÓN,A-CE,0.0
128907d4b8ab2daa38d9d84c3a8d7c94aa85787d1938526d9d7d1e50e7ef7e14,HECHOS,A-CE,0.0
128907d4b8ab2daa38d9d84c3a8d7c94aa85787d1938526d9d7d1e50e7ef7e14,CONSIDERACIONES,A-CE,0.0
128907d4b8ab2daa38d9d84c3a8d7c94aa85787d1938526d9d7d1e50e7ef7e14,DECISIÓN,A-CE,0.0
12c68e398fa497e0ea30779cdba94307138aedeb24e33f6014c4d899fbccb577,CONSIDERACIONES,A-CE,0.64391891891892
12c68e398fa497e0ea30779cdba94307138aedeb24e33f6014c4d899fbccb577,DECISIÓN,A-CE,0.7673076923076924
1416ae13e1f448ff1c4a051b27136a9f9ba34ec7174f346d299d3cb978e3b460,DECISIÓN,A-CE,0.9964285714285714
143256801feffea8eacf63001c92274b9ee28a8c10aef1662e7c78759e087fcb,CONSIDERACIONES,A-CSJ,0.25
143256801feffea8eacf63001c92274b9ee28a8c10aef1662e7c78759e087fcb,DECISIÓN,A-CSJ,0.0
154480cd4a5177fbc95ccb84329bb279147770f8e9ba039528ea8c761a2c24a2,HECHOS,A-CE,0.0
154480cd4a5177fbc95ccb84329bb279147770f8e9ba039528ea8c761a2c24a2,CONSIDERACIONES,A-CE,0.6095890410958903
154480cd4a5177fbc95ccb84329bb279147770f8e9ba039528ea8c761a2c24a2,DECISIÓN,A-CE,0.0
15a84895577a3f984716399508c5f7a8380a5a0f3eafcefd1eb69cebc13b53b5,CONSIDERACIONES,A-CE,0.6401315789473689
15a84895577a3f984716399508c5f7a8380a5a0f3eafcefd1eb69cebc13b53b5,CONSIDERACIONES,A-CE,0.6401315789473689
15a84895577a3f984716399508c5f7a8380a5a0f3eafcefd1eb69cebc13b53b5,DECISIÓN,A-CE,0.4847560975609755
1969b99d5165452c36d6547d63b53c088dfb4ac534cec78d3854d494f6ec287c,HECHOS,A-CSJ,0.0
1969b99d5165452c36d6547d63b53c088dfb4ac534cec78d3854d494f6ec287c,DECISIÓN,A-CSJ,0.0
1969b99d5165452c36d6547d63b53c088dfb4ac534cec78d3854d494f6ec287c,DECISIÓN,A-CSJ,0.0
1b2f8e6c0f9fba53439452a0db00ccf2070329a79f195529f9764da939332f8d,CONSIDERACIONES,A-CE,0.8286585365853657
1b2f8e6c0f9fba53439452a0db00ccf2070329a79f195529f9764da939332f8d,DECISIÓN,A-CE,0.2846385542168674
1cdfc83e3657c1421bd5cbb381fc7984156440675f4bcb70206be4ded8f81ff9,HECHOS,A-CSJ,0.0
1cdfc83e3657c1421bd5cbb381fc7984156440675f4bcb70206be4ded8f81ff9,DECISIÓN,A-CSJ,0.0
1d59753be972090bd0a2b825206390fe1d43be194d8f797ac7b097623ae9e4d1,CONSIDERACIONES,A-CSJ,0.1517857142857143
1d59753be972090bd0a2b825206390fe1d43be194d8f797ac7b097623ae9e4d1,DECISIÓN,A-CSJ,0.0
1d827284136d2487d88645af44ae64472c936914676cafcee2eacf23514ca158,DECISIÓN,A-CE,0.0
1e6c5f6e8510143dc607c36570938f46d49e2e887291340d25f12ac2a964507d,DECISIÓN,A-CE,0.70625
2132a193e2be757480179b35a44891f32d1fad47b3923b917d6e94617e1018a4,DECISIÓN,A-CSJ,0.0
21649e686b573d7662c1ad154761aeb3d93749226065487f3951e711f22a4a4f,HECHOS,A-CE,0.38423076923076904
