categoria,kappa,acuerdo_obs,n_A1,n_A2,ambos_presentes,discordancias,interpretacion
EBI,0.7218,0.86,58,48,46,14,SUSTANCIAL
SA,0.6172,0.81,52,59,46,19,SUSTANCIAL
NV,0.7087,0.88,28,30,23,12,SUSTANCIAL
REP,0.3089,0.66,70,52,44,34,aceptable
