categoria,kappa_ronda1,kappa_ronda2,interpretacion_final
EBI,0.7217806041335453,0.7217806041335453,SUSTANCIAL
SA,0.6172441579371475,0.6172441579371475,SUSTANCIAL
NV,0.7087378640776699,0.7087378640776699,SUSTANCIAL
REP,0.3089430894308943,0.8407643312101911,casi perfecto
GLOBAL,0.5891764288948143,0.7221317393396385,SUSTANCIAL
