unidad,corpus,y1_ebi,y2_sa,y4_nv,y8_mafapo_cs,y9_cidh_cs,y10_rep,y1_ebi_z,y2_sa_z,y4_nv_z,y8_mafapo_cs_z,y9_cidh_cs_z,y10_rep_z,DIS,IEI_A,IEI_B
01807c73506b_CONSIDERACIONES_0,A,0.0163458045768252,1.0,0.1905,0.2162932157516479,0.2497575879096985,0.0,0.425363097727395,0.6188916609807404,0.45769215960202825,0.5746675603039725,0.4979446367612217,0.34711492262946964,0.5516782605963393,0.516558063030564,0.5418864826561103
01807c73506b_DECISIÓN_0,A,0.0,0.9187,0.0,0.2160991430282592,0.2350721359252929,0.0,0.41911613236841694,0.5408497395472478,0.3093038425074956,0.5736401156396007,0.40718067765499233,0.34711492262946964,0.5257668980227003,0.4444014023045867,0.48179018020660824
036f7d338673_DECISIÓN_0,A,0.0,1.0,0.2333,0.1997628808021545,0.2472068071365356,0.0,0.41911613236841694,0.6188916609807404,0.4931870073562821,0.4857522083957804,0.48199809458560305,0.34711492262946964,0.5491794744527481,0.48685641394087775,0.5200989534783115
0453281fce29_HECHOS_0,A,1.006711409395973,1.0,0.8333,0.2051552534103393,0.265583872795105,1.0,0.7774256657315913,0.6188916609807404,0.8774794134103125,0.5149338337066887,0.5957365650607154,0.9621184448064667,0.5080022311449187,0.6479383270239838,0.5303604557684704
0453281fce29_CARGOS_0,A,0.1184210526315789,1.0,0.7857,0.1494669318199157,0.1958874464035034,0.0,0.4648375020714745,0.6188916609807404,0.8594129734036746,0.241210883505327,0.20489389907601627,0.34711492262946964,0.5674680223339711,0.4157764151460381,0.46901699864562685
0453281fce29_CONSIDERACIONES_0,A,0.0,1.0,0.45,0.1965851783752441,0.2470471858978271,0.0,0.41911613236841694,0.6188916609807404,0.6667773177302152,0.46858827275164483,0.4810010821392903,0.34711492262946964,0.5491794744527481,0.5317688290615097,0.5580980972669759
0453281fce29_DECISIÓN_0,A,0.0,1.0,0.2778,0.2337839007377624,0.2788824439048767,0.0,0.41911613236841694,0.6188916609807404,0.5301596152811352,0.6636588148213409,0.6727050037756148,0.34711492262946964,0.5491794744527481,0.6263229116455613,0.6303908146846958
04d6e5308972_CONSIDERACIONES_0,A,0.7475612806403201,1.0,0.0324,0.313835859298706,0.3451180458068847,0.4941526610644245,0.6994622151220493,0.6188916609807404,0.33279061837188856,0.9178123048708589,0.9151012032070058,0.7822549382776989,0.5307759028597322,0.7414924684220119,0.6308656592004415
04d6e5308972_DECISIÓN_0,A,0.0,1.0,0.1613,0.17938232421875,0.2258766889572143,0.3109756097560975,0.41911613236841694,0.6188916609807404,0.4336985005965626,0.37793984993225704,0.3530427793945644,0.6389054465792517,0.4616423172678134,0.3871983239702409,0.3822861856616085
04e1eb5aaa56_HECHOS_0,A,0.2719033232628399,1.0,0.4762,0.1443036794662475,0.1898087263107299,0.0,0.5248707468328534,0.6188916609807404,0.6858535935417153,0.22134406424093525,0.18122572824067865,0.34711492262946964,0.5914813202385226,0.3486614222310923,0.4137500651919851
04e1eb5aaa56_CONSIDERACIONES_0,A,0.1417769376181474,1.0,0.7333,0.1972742080688476,0.2412400245666504,0.0,0.47395039327133537,0.6188916609807404,0.8370039848616339,0.4723050720199208,0.44489474950690056,0.34711492262946964,0.5711131788139154,0.5734916491185287,0.5927432206722159
04e1eb5aaa56_DECISIÓN_0,A,0.0,1.0,0.0,0.217328131198883,0.2611383199691772,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.5801354401136645,0.5686903498365291,0.34711492262946964,0.5491794744527481,0.4954524337486732,0.5241161955942116
