doc_id,section_id,section,y7_surprisal
01807c73506b8128,1,,-0.04937717266563724
01807c73506b8128,2,,-0.7988903149962425
036f7d338673e786,1,,-0.7388288825750351
0453281fce29cacf,1,,-0.4107290208339691
0453281fce29cacf,3,,-0.3456376027315855
0453281fce29cacf,4,,-0.09940275847911835
0453281fce29cacf,5,,-1.8195145428180695
04d6e5308972acfd,1,,-0.2593186622427311
04d6e5308972acfd,2,,-0.8062609496215979
04e1eb5aaa561608,1,,-0.2688942300155759
04e1eb5aaa561608,2,,-0.1128280857069926
04e1eb5aaa561608,3,,-1.2272047698497772
057f5cc436d1502f,1,,-0.27066898345947266
057f5cc436d1502f,3,,0.003926471442632057
057f5cc436d1502f,4,,-1.7124215960502625
05d2e3f2271c9000,1,,-0.9394597311814625
05d2e3f2271c9000,3,,-0.36132358642319184
05d2e3f2271c9000,4,,-0.7577475532889366
05fe0c7e89a387dd,1,,-0.6180235892534256
05fe0c7e89a387dd,3,,-0.0729474083830913
05fe0c7e89a387dd,4,,-1.6371939480304718
0835aff2f7b29057,2,,-0.2880091574497339
0835aff2f7b29057,3,,-1.070857264722387
08e5432af3304b3a,1,,-1.3071252182126045
0be911634d3b2d72,1,,-0.23561827465891835
0be911634d3b2d72,2,,-0.12411587516015227
0be911634d3b2d72,3,,-1.7771747410297394
0c26b5b6275ecd41,1,,-1.911707654595375
0c6ebf783e619758,1,,-0.7711323946714401
0c6ebf783e619758,3,,-0.26657194062136114
0c6ebf783e619758,4,,-1.5328104197978973
0d0427146a475d68,2,,-0.3152286779135466
0d0427146a475d68,3,,-1.3957869559526443
0d799109865a9a1c,5,,-0.37033574329689145
0d799109865a9a1c,10,,-0.14620741456747055
0d799109865a9a1c,16,,-1.1872705039568245
0d799109865a9a1c,18,,0.04603613237850368
0d799109865a9a1c,19,,0.0008142236620187759
0d799109865a9a1c,21,,0.044305410236120224
0d799109865a9a1c,22,,-0.2751565683633089
0d799109865a9a1c,23,,-0.2803946340456605
0d799109865a9a1c,27,,-0.46787315607070923
0d799109865a9a1c,30,,-0.6500981491383003
0d799109865a9a1c,31,,-0.8966833722467225
0d799109865a9a1c,32,,-0.5668353645337952
0d799109865a9a1c,46,,-1.139501828700304
0d799109865a9a1c,48,,-0.45848291516304013
0d799109865a9a1c,49,,0.030800590912501036
0d799109865a9a1c,50,,-0.030032776296138763
0d799109865a9a1c,52,,-0.3017953236897786
0dbbebfd3378e61d,1,,-0.6210498064756393
0dbbebfd3378e61d,3,,-0.016400183883628683
0dbbebfd3378e61d,4,,-1.0242544114589691
0ed77f2cfbb0dd80,1,,-0.2288043200969696
0ed77f2cfbb0dd80,3,,-0.011234392545052943
0ed77f2cfbb0dd80,4,,-1.594723880290985
1017bb4b8803a7bc,1,,-0.5886065661907196
1017bb4b8803a7bc,3,,-0.09252045614024004
1017bb4b8803a7bc,4,,-1.2887183874845505
101c3e12caf10998,2,,-0.20295329060819411
101c3e12caf10998,3,,-0.893677145242691
106207e34d1fde6c,1,,-0.37210810964461416
11c1146149557691,1,,-0.14155452526532686
11c1146149557691,2,,-0.4078671634197235
11c1146149557691,3,,-1.3475997596979141
