,y1_ebi,y2_sa,y4_nv,y8_mafapo_cs,y9_cidh_cs,y10_rep
y1_ebi,1.0,0.373,0.354,-0.159,-0.2,0.285
y2_sa,0.373,1.0,0.421,0.008,-0.175,0.228
y4_nv,0.354,0.421,1.0,0.149,-0.004,0.314
y8_mafapo_cs,-0.159,0.008,0.149,1.0,0.908,-0.314
y9_cidh_cs,-0.2,-0.175,-0.004,0.908,1.0,-0.297
y10_rep,0.285,0.228,0.314,-0.314,-0.297,1.0
