,DIS,DIS,IEI_A,IEI_A,IEI_B,IEI_B
,mean,std,mean,std,mean,std
corpus,,,,,,
A,0.5102,0.0891,0.513,0.1339,0.5185,0.1176
B,0.4983,0.101,0.353,0.1218,0.3661,0.1024
C,0.3945,0.0862,0.3704,0.1185,0.3509,0.102
