doc_id,section_id,corpus_type,year,y1_ebi,y2_sa,y3_civil,y4_nv,y5_corpus_type,y6_period,y10_rep,y7_surprisal,y8_mafapo,y9_cidh,y11_conv_rest,text_length_chars,n_sa_instances,n_nv_instances,n_rep_instances,n_nv_questioned,processing_time_s,has_warning
02ea0ec1a5cdcdd0e284936ed205da7ab298db8c3c3ec7134f62ef65fb4b1795,CONSIDERACIONES,B,2025.0,0.0,1.0,0.9934,0.0929,2,1.0,0.0717,,,,,8000,69,4,2,0,3.968,False
02ea0ec1a5cdcdd0e284936ed205da7ab298db8c3c3ec7134f62ef65fb4b1795,RESUELVE,B,2025.0,0.0,1.0,0.995,0.0347,2,1.0,0.0391,,,,,8000,63,1,1,0,3.752,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_00,B,2025.0,0.0,1.0,0.9839,0.0,2,1.0,0.1293,,,,,7998,52,0,2,0,3.047,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_01,B,2025.0,0.0,1.0,0.9898,0.0914,2,1.0,0.7258,,,,,8000,38,2,12,0,3.232,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_02,B,2025.0,0.0,1.0,0.9858,0.0343,2,1.0,0.2941,,,,,7999,67,1,5,0,2.919,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_03,B,2025.0,0.0,1.0,0.9819,0.0775,2,1.0,0.1831,,,,,7999,64,2,4,0,3.012,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_04,B,2025.0,0.0,1.0,0.9881,0.119,2,1.0,0.392,,,,,8000,59,2,5,0,3.203,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_05,B,2025.0,0.0,1.0,0.9903,0.0439,2,1.0,0.3454,,,,,8000,71,1,7,0,3.239,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_06,B,2025.0,0.0,1.0,0.991,0.1149,2,1.0,0.2586,,,,,7999,43,2,4,0,3.435,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_07,B,2025.0,0.0,1.0,0.9942,0.2308,2,1.0,0.3365,,,,,7999,30,6,7,0,3.148,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_08,B,2025.0,0.0,1.0,0.9945,0.0,2,1.0,0.1215,,,,,8000,26,0,2,0,2.797,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,CONTRIBUCION_VERDAD_09,B,2025.0,0.0,0.5,0.9938,0.0,2,1.0,0.0,,,,,583,1,0,0,0,0.521,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,HECHOS_Y_CONDUCTAS_00,B,2025.0,0.0,1.0,0.9913,0.0758,2,1.0,0.142,,,,,7998,31,2,3,0,2.687,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,HECHOS_Y_CONDUCTAS_01,B,2025.0,0.0,1.0,0.9891,0.3646,2,1.0,0.1758,,,,,8000,45,7,3,0,2.437,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,HECHOS_Y_CONDUCTAS_02,B,2025.0,0.0,0.9682,0.9834,0.7056,2,1.0,0.0625,,,,,5390,21,13,1,0,2.12,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,SANCION_PROPIA_00,B,2025.0,0.0,0.9816,0.9871,0.0,2,1.0,0.1913,,,,,7998,37,0,10,0,1.907,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,SANCION_PROPIA_01,B,2025.0,0.0,0.7657,0.988,0.4839,2,1.0,0.0,,,,,7999,38,18,0,0,3.223,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,SANCION_PROPIA_02,B,2025.0,0.0,1.0,0.99,0.0343,2,1.0,0.1103,,,,,7999,61,1,2,0,2.813,False
100af0820e234457d66c0822976d2b951e006debaab4606af2e62df87a605603,SANCION_PROPIA_03,B,2025.0,0.0,1.0,0.9918,0.2778,2,1.0,0.5729,,,,,8000,58,4,7,0,2.918,False
