AU1,AU4,AU6,AU12,AU15,AU17,audio,start,end,duracion
0.0943572682638963,0.06368737651306826,0.24191278591752052,0.03654684641029841,0.0019894398283213377,0.40576743831237155,casanare_torres,192.61,195.75,3.14
0.0056118304841220375,0.008599646296352148,0.5987287759780884,0.013204500824213029,3.060434282815549e-05,0.0010692656971514225,casanare_torres,460.38,460.53,0.15
0.024213009380868504,0.10400210285470599,0.44213730806396123,0.005978066499145436,0.0009452103211168876,0.27793619879299686,casanare_torres,469.59,472.31,2.72
0.004956841194403491,0.08380853919134963,0.4689120167777652,0.01410047114422057,5.12338852526487e-05,0.35737891282354084,casanare_torres,473.8,478.0,4.2
0.0013883938028646464,0.15047326065938582,0.5793939598582007,0.007244316894767425,4.108598633158842e-05,0.2934810973026536,casanare_torres,478.98,481.93,2.95
0.025458950204275816,0.0700268420346436,0.45114572984831675,0.0023210497965919785,0.0011749989685194166,0.40003627139542786,casanare_torres,482.71,485.49,2.78
0.00022587696069174191,0.17757682637734848,0.6021173948591406,0.006851298313201617,1.0972278708074803e-05,0.22554124349897559,casanare_torres,486.62,489.47,2.85
0.004933393080638529,0.135471165051748,0.4781718963179095,0.00046488362499201623,2.5886204178763804e-05,0.3950834285532092,casanare_torres,493.25,494.22,0.96
0.004127684346583139,0.1735041809733957,0.4395640691121419,0.0006123324516617382,6.319822847512482e-05,0.2768062053336984,casanare_torres,496.83,500.88,4.05
0.019344286173041576,0.12253444947834526,0.5246625202042716,0.0019213645836901247,4.51877220127374e-05,0.3475620022841862,casanare_torres,501.56,509.79,8.24
0.18923929955781205,0.06084608870150987,0.5014470294117928,0.18255858615574994,0.00048639078025303206,0.07312269130488858,casanare_torres,510.25,516.78,6.53
0.13769287850092432,0.06397437767671883,0.5206572924341474,0.028372692083069393,0.0008697443733711095,0.13224708874310767,casanare_torres,517.06,521.03,3.97
0.0392747237929143,0.020714645739644766,0.3675660640001297,0.00348176627369412,0.006209819851846987,0.20055412594228983,casanare_torres,522.01,541.5,19.49
0.03602306850079913,0.022130189556628467,0.4717543005943298,0.0008834105348796584,7.206206992123043e-05,0.6212960824370384,casanare_torres,541.68,545.4,3.71
0.023672546082790093,0.02236151894215833,0.31552659652449866,0.0016093423491218512,0.00039077828523659264,0.3283184494145892,casanare_torres,546.43,548.2,1.77
0.014379645177541533,0.053075145406182855,0.4840929787606001,0.1899804020845295,0.0005930452253437579,0.15546929734409787,casanare_torres,549.33,555.47,6.14
0.00149631457148084,0.060230486668073215,0.42831839621067047,0.00040926328151377116,7.275259496544514e-05,0.19875795738055155,casanare_torres,556.15,561.77,5.62
0.0012729264271911234,0.09636579440640551,0.6415277974946159,0.002909813663011716,0.0014998054289857724,0.2590069259916033,casanare_torres,562.47,577.61,15.14
0.0018005425143720849,0.08755272094692503,0.5890704223087856,1.9151128274838163e-05,9.756555933953287e-07,0.03192847488181932,casanare_torres,578.27,581.46,3.19
0.0733379323646659,0.0234388811950339,0.26563552394509315,0.006393718747972343,0.0009311406096728092,0.42035302985459566,casanare_torres,581.91,585.15,3.24
0.05731574046027769,0.09858278994530943,0.4850266436735789,0.03030493152445691,0.0006633642183776563,0.14006345405553777,casanare_torres,586.47,592.29,5.82
0.012958494442640446,0.06236486177602693,0.590822682930873,0.006120705790006189,0.0003637216950664879,0.0920830205656015,casanare_torres,592.9,596.51,3.61
0.03720033564812703,0.044654134797989777,0.5966963682855878,0.016238868477427917,0.0012519570588578755,0.1598761749808632,casanare_torres,596.88,599.03,2.14
0.05622524078498827,0.031046683906242833,0.5019769720733166,0.02220561849026126,0.0005754409026849317,0.13230220060795544,casanare_torres,599.55,605.08,5.53
0.008818561673417042,0.09658016413132745,0.4860511462796818,0.0062574920131572235,0.00014119974705615525,0.26403942120007495,casanare_torres,605.61,608.85,3.24
0.07141612176565104,0.08386349920856447,0.34846437722444534,0.028703964448868646,0.000106310430045653,0.4740077609661967,casanare_torres,609.57,613.59,4.02
0.0014717288381096137,0.054070069171164345,0.5836089305255724,0.004858582699793972,0.0003967819481223832,0.0860562015162862,casanare_torres,614.58,615.39,0.81
