audio,n,y2_sa,y4_nv,y10_rep,y8_mafapo,y9_cidh,DIS_score,IEI_score,disociacion,tipo_disociacion
casanare,120,0.9737941666666666,0.4829166666666667,0.11813,0.19294688009446664,0.2639126811296709,0.8080861570267859,0.516825384301466,0.2912607727253199,DIS>IEI — discursivamente más injusto
catatumbo,58,0.5320137931034483,0.22012758620689657,0.12087241379310346,0.20681135613342808,0.27071125445694755,0.1102499047306301,0.6240844483702976,0.5138345436396675,IEI>DIS — epistémicamente más injusto
dabeiba,120,0.7713433333333334,0.21057583333333335,0.06608083333333334,0.18935702534185514,0.2619457286265161,0.489608556430958,0.2991430000855252,0.19046555634543283,DIS>IEI — discursivamente más injusto
huila,120,0.7943541666666667,0.22629083333333336,0.14744416666666668,0.1861843386692787,0.2631516091859163,0.22803506684501468,0.08101559801982107,0.14701946882519362,DIS>IEI — discursivamente más injusto
costa_caribe,120,0.7989241666666668,0.3730191666666667,0.13562166666666667,0.18928259285166857,0.2593783247284591,0.4638156983342617,0.23074997372517142,0.23306572460909025,DIS>IEI — discursivamente más injusto
