audio,y2_sa,y4_nv,y10_rep,n_bloques_c1,subcaso,fecha,y8_mafapo,y9_cidh,n_bloques_y89,icm_facial,icm_vocal,icm_tri
casanare,0.9737941666666666,0.4829166666666667,0.11813,120,Casanare,2020-02-06,,,,0.19,0.415,0.375
catatumbo,0.5320137931034483,0.22012758620689657,0.12087241379310346,58,Catatumbo,2022-04-26,0.20681135613342808,0.27071125445694755,58.0,0.272,0.317,0.236
costa_caribe,0.7989241666666668,0.3730191666666667,0.13562166666666667,120,Costa Caribe,2022-07-18,0.18928259285166857,0.2593783247284591,128.0,,,
dabeiba,0.7713433333333334,0.21057583333333335,0.06608083333333334,120,Dabeiba,2023-01-01,,,,0.353,0.452,0.493
huila,0.7943541666666667,0.22629083333333336,0.14744416666666668,120,Huila,2022-01-01,0.1861843386692787,0.2631516091859163,134.0,0.299,0.334,0.453
