doc_id,corpus,subcorpus,year,radicado,tipo_accion,decision,magistrado_ponente,sala_seccion,fecha_sentencia,fecha_hechos,departamento_hechos,municipio_hechos,batallon,secciones_identificadas,n_secciones,n_chars,y8_mafapo,y9_cidh,y2_sa,y10_rep,compareciente,rango,icm_v3,deteccion_facial
849bf9553f4f6fb2f976…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,DECISIÓN,1,1445,0.284,0.311,0.487,0.225,—,—,—,—
86612fca64bcb05a9d4e…,A-CE,CE,2005,05001-23-31-000-2005-05214-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],19 de abril de 2004,19 de abril de 2004,Cesar,Granada,,HECHOS | CONSIDERACIONES | DECISIÓN,3,21036,0.206,0.256,0.980,0.105,—,—,—,—
8695e3bbff2b1626bc06…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES | DECISIÓN,2,5971,0.268,0.318,1.000,0.000,—,—,—,—
8698957dce8f3b066587…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,2666,0.181,0.229,1.000,0.000,—,—,—,—
86c58e3302ae7ea2eead…,A-CE,CE,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN | HECHOS | CARGOS,4,69676,0.202,0.222,0.883,0.015,—,—,—,—
8752ccb0cdc41f4410d1…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES,1,8000,0.209,0.250,1.000,0.000,—,—,—,—
8906a05addaf73674950…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | DECISIÓN,2,8949,0.160,0.212,0.890,0.000,—,—,—,—
8990f6200a9b0a5ada17…,A-CE,CE,2018,11001-03-15-000-2018-00348-01,TUTELA,Niega,[extraer de PDF],[extraer de PDF],31 de julio de 2012,28 de agosto de 2014,Huila,Pitalito,,HECHOS | CONSIDERACIONES | DECISIÓN,3,12601,0.180,0.218,0.883,0.546,—,—,—,—
89cb54f99680da083d37…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,9216,0.224,0.266,0.931,0.000,—,—,—,—
8a736052e4150c4e698e…,A-CE,CE,2007,05001-23-31-000-2007-00013-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],13 de diciembre de 2005,14 de diciembre de 2007,Antioquia,Santa,,CONSIDERACIONES | HECHOS | DECISIÓN,3,23626,0.191,0.206,0.800,0.123,—,—,—,—
8ae9435d3ce088671ec3…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,24000,0.173,0.224,1.000,0.278,—,—,—,—
8f8692086f524ad275c5…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,8738,0.207,0.247,0.933,0.086,—,—,—,—
8fb4a679e739d9a79ee3…,A-CE,CE,2012,05001-23-31-000-2012-00599-02,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],16 de octubre de 2007,12 de octubre de 2017,Antioquia,Montebello,,CONSIDERACIONES | DECISIÓN,2,12690,0.226,0.280,1.000,0.030,—,—,—,—
8fba60217966df3ec043…,A-CSJ,CSJ,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,DECISIÓN,1,847,0.214,0.254,1.000,0.000,—,—,—,—
8fd4f9a0479eb2822f11…,A-CE,CE,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,CONSIDERACIONES | DECISIÓN,2,16433,0.186,0.228,0.667,0.224,—,—,—,—
920842d40706ca51069a…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,12274,0.205,0.255,0.992,0.000,—,—,—,—
92de0775e7d0c941c3b6…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,1514,0.199,0.247,0.743,0.000,—,—,—,—
93089bb3d1b4f92da4b7…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES | DECISIÓN,2,8720,0.223,0.248,0.608,0.086,—,—,—,—
