archivo,radicado,n_expediente,year_radicado,tipo_accion,decision,magistrado_ponente,fecha_1,fecha_2,municipio_hechos,departamento_hechos,batallon_mencionado,n_chars
13001-23-31-000-2006-00753-01(43770).txt,13001-23-31-000-2006-00753-01,43770,2006,,,,,,Tiquisio,,,195087
15001-23-31-000-1995-05276-01(19886) (1).txt,15001-23-31-000-1995-05276-01,19886,1995,,,,13 de agosto de 2008,10 de febrero de 2011,Pauna,,,126588
15001-23-31-000-1995-05276-01(19886).txt,15001-23-31-000-1995-05276-01,19886,1995,,,,13 de agosto de 2008,10 de febrero de 2011,Pauna,,,126588
15001-23-31-000-2006-02844-01(46134) (1).txt,15001-23-31-000-2006-02844-01,46134,2006,,Condena,,24 de octubre de 2004,24 de octubre de 2004,Pajarito,Casanare,,95285
15001-23-31-000-2006-02844-01(46134).txt,15001-23-31-000-2006-02844-01,46134,2006,,Condena,,24 de octubre de 2004,24 de octubre de 2004,Pajarito,Casanare,,95285
17001-23-31-000-1995-08018-01(20194).txt,17001-23-31-000-1995-08018-01,20194,1995,,Accede,,15 de julio de 1994,13 de octubre de 2000,Neira,Caldas,,17514
17001-23-31-000-1997-07061-01(20156).txt,17001-23-31-000-1997-07061-01,20156,1997,,Niega,,13 de diciembre de 1995,13 de diciembre de 1995,Anserma,Antioquia,,27595
17001-23-31-000-2009-00212-01(52892)_1 (1).txt,17001-23-31-000-2009-00212-01,52892,2009,"ACCION

DE REPARACION DIRECTA",Condena,,18 de agosto de 2007,18 de agosto de 2007,Chinchiná,Caldas,de,383405
17001-23-31-000-2009-00212-01(52892)_1.txt,17001-23-31-000-2009-00212-01,52892,2009,"ACCION

DE REPARACION DIRECTA",Condena,,18 de agosto de 2007,18 de agosto de 2007,Chinchiná,Caldas,de,383405
17001-23-31-000-2009-00310-01 (47860).txt,17001-23-31-000-2009-00310-01,47860,2009,,Condena,,26 de agosto de 2007,27 de agosto de 2007,,Antioquia,,70153
18001-23-31-000-2005-00142-01(50843).txt,18001-23-31-000-2005-00142-01,50843,2005,,Condena,,16 de noviembre de 2004,16 de noviembre de 2004,La,Cesar,,168634
18001-23-31-000-2005-00364-01(46688)B.txt,18001-23-31-000-2005-00364-01,46688,2005,,,,5 de agosto de 2004,5 de agosto de 2004,Montaita,,,113241
18001-23-31-000-2006-00058-01(48216).txt,18001-23-31-000-2006-00058-01,48216,2006,ACCION DE REPARACION DIRECTA,Condena,,23 de enero de 2004,24 de enero de 2006,,,,85469
19001-23-31-000-1994-07001-01(12936).txt,19001-23-31-000-1994-07001-01,12936,1994,,,,26 de agosto de 1999,,,,,80805
19001-23-31-000-1999-00217-01(24984) (1).txt,19001-23-31-000-1999-00217-01,24984,1999,,,,28 de noviembre de 2002,11 de febrero de 2009,,Cauca,,98061
19001-23-31-000-1999-00217-01(24984).txt,19001-23-31-000-1999-00217-01,24984,1999,,,,28 de noviembre de 2002,11 de febrero de 2009,,Cauca,,98061
19001-23-31-000-2008-00432-01(45799)_1.txt,19001-23-31-000-2008-00432-01,45799,2008,"ACCION

DE REPARACION DIRECTA",Condena,,8 de marzo de 2007,18 de diciembre de 2008,,Cauca,Contraguerrillas,109943
20001-23-31-000-1999-00274-01(21377) (1).txt,20001-23-31-000-1999-00274-01,21377,1999,,,,28 de agosto de 1997,8 de julio de 2009,Curuman,Cesar,,153299
20001-23-31-000-1999-00274-01(21377).txt,20001-23-31-000-1999-00274-01,21377,1999,,,,28 de agosto de 1997,8 de julio de 2009,Curuman,Cesar,,153299
20001-23-31-000-1999-00655-01(21380) (1).txt,20001-23-31-000-1999-00655-01,21380,1999,,,,21 de febrero de 2002,25 de enero de 2001,Curuman,Cesar,,92884
20001-23-31-000-1999-00655-01(21380).txt,20001-23-31-000-1999-00655-01,21380,1999,,,,21 de febrero de 2002,25 de enero de 2001,Curuman,Cesar,,92884
20001-23-31-000-2003-01951-01(35752) (1).txt,20001-23-31-000-2003-01951-01,35752,2003,ACCION DE REPARACION DIRECTA,,,1 de febrero de 2003,1 de febrero de 2003,La,Cesar,,85048
20001-23-31-000-2003-01951-01(35752).txt,20001-23-31-000-2003-01951-01,35752,2003,ACCION DE REPARACION DIRECTA,,,1 de febrero de 2003,1 de febrero de 2003,La,Cesar,,85048
20001-23-31-000-2008-00295-01(41009).txt,20001-23-31-000-2008-00295-01,41009,2008,,,,,,,Cesar,,227500
20001-23-31-000-2009-00307-01(44065)A_1.txt,20001-23-31-000-2009-00307-01,44065,2009,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,,16 de mayo de 2007,28 de agosto de 2014,González,Cesar,,190958
23001-23-31-000-2009-00262-01(49878).txt,23001-23-31-000-2009-00262-01,49878,2009,,,,7 de septiembre de 2007,21 de mayo de 2009,Crdobas,,,148833
25000-23-15-000-2004-01196-01(34749)_1.txt,25000-23-15-000-2004-01196-01,34749,2004,"ACCION

DE REPARACION DIRECTA",,,2 de noviembre de 2003,2 de noviembre de 2003,,,,104498
