audio,n,DIS,IEI,y2,y4,y10,y8,y9
casanare_torres,124,0.589,0.489,0.978,0.497,0.136,0.16,0.264
catatumbo,58,0.419,0.477,0.532,0.215,0.101,0.179,0.271
costa_caribe,128,0.51,0.474,0.782,0.388,0.136,0.165,0.259
dabeiba_antioquia,144,0.491,0.449,0.807,0.248,0.092,0.158,0.262
huila,134,0.451,0.421,0.777,0.215,0.198,0.154,0.263
