subcaso,SA_z,NV_z,REP_z,y8_z,y9_z,DIS,IEI
casanare,0.642,0.577,0.456,0.516,0.514,0.59,0.536
catatumbo,0.336,0.43,0.489,0.552,0.533,0.421,0.51
dabeiba,0.478,0.426,0.447,0.492,0.495,0.482,0.488
huila,0.499,0.436,0.504,0.471,0.507,0.476,0.474
costa_caribe,0.498,0.532,0.493,0.49,0.486,0.512,0.503
