audio,bloque_id,chars,subcaso,fecha,tipo,y2_sa,y4_nv,y10_rep,n_sa,n_nv,n_rep
casanare,casanare_c0042,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,18.0,0.0,0.0
casanare,casanare_c0043,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.1042,23.0,0.0,1.0
casanare,casanare_c0044,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.1852,0.0,17.0,2.0,0.0
casanare,casanare_c0045,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,0.72,0.0729,0.0,9.0,1.0,0.0
casanare,casanare_c0046,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,16.0,0.0,0.0
casanare,casanare_c0047,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,15.0,0.0,0.0
casanare,casanare_c0048,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,0.2447,0.0,0.1103,3.0,0.0,1.0
casanare,casanare_c0049,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,0.3712,0.0,0.0,5.0,0.0,0.0
casanare,casanare_c0050,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,0.5374,0.0,0.0,8.0,0.0,0.0
casanare,casanare_c0051,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,0.3695,0.0,0.0,5.0,0.0,0.0
casanare,casanare_c0052,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,29.0,0.0,0.0
casanare,casanare_c0053,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.2024,0.0,14.0,2.0,0.0
casanare,casanare_c0054,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.3333,0.85,11.0,1.0,2.0
casanare,casanare_c0055,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,11.0,2.0,0.0
casanare,casanare_c0056,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,16.0,1.0,0.0
casanare,casanare_c0057,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,10.0,5.0,0.0
casanare,casanare_c0058,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,8.0,5.0,0.0
casanare,casanare_c0059,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.2083,0.0,18.0,1.0,0.0
casanare,casanare_c0060,1998.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,1.0,15.0,1.0,2.0
casanare,casanare_c0061,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,14.0,0.0,0.0
casanare,casanare_c0062,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,14.0,0.0,0.0
casanare,casanare_c0063,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,1.0,13.0,0.0,1.0
