corpus_type,doc_id,bloque_id,chars,y11_quotes,y12_judgment,y13_evidential,y11_n_dq,y12_n_alta,y12_n_baja,y13_n_inst,y13_n_vic,y11_oral_score,y11_n_voz_vic,y11_n_voz_mil,y11_oral_v2,y11_prop_mafapo,y11_n_mafapo,y11_n_militar
A,04d6e5308972acfd,04d6e5308972acfd_b001,2000,0.0,0.5,0.5,0,1,1,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b002,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b003,2000,0.0,0.6667,0.5,0,1,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b004,2000,0.0,0.3333,0.5,0,2,1,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b005,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b006,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b007,2000,0.0,0.5,0.5,0,2,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b008,2000,0.0,0.3333,0.5,0,2,1,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b009,2000,0.0,0.0,0.5,0,4,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b010,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b011,2000,0.0,0.6667,0.5,0,1,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b012,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b013,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b014,2000,0.0,0.5,0.5,0,2,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b015,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b016,2000,0.0,0.4,0.5,0,3,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b017,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b018,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,04d6e5308972acfd,04d6e5308972acfd_b019,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b000,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b001,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b002,2000,1.0,0.0,0.5,1,1,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b003,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b004,2000,1.0,0.0,0.5,1,1,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b005,2000,1.0,0.0,0.5,3,2,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b006,2000,0.0,0.0,1.0,0,3,0,1,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b007,2000,1.0,0.5,1.0,1,1,1,1,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b008,2000,1.0,0.6667,0.5,1,1,0,0,0,,,,,,,
A,04e1eb5aaa561608,04e1eb5aaa561608_b009,654,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b000,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b001,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b002,2000,0.0,0.0,0.5,0,3,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b003,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b004,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b005,2000,0.0,1.0,0.5,0,0,2,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b006,2000,0.0,0.0,1.0,0,4,0,2,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b007,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b008,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b009,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b010,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b011,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b012,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b013,2000,0.0,0.75,0.5,0,1,1,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b014,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b015,2000,1.0,0.0,0.5,3,1,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b016,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b017,2000,0.0,0.6,0.5,0,2,1,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b018,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,057f5cc436d1502f,057f5cc436d1502f_b019,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b000,2000,0.0,1.0,0.5,0,0,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b001,2000,0.0,1.0,0.5,0,0,0,0,0,,,,,,,
