audio,bloque_id,subcaso,y8_v5,y9_v5
catatumbo,catatumbo_b0000,Norte de Santander,0.1200124773568475,0.24140691757202148
catatumbo,catatumbo_b0001,Norte de Santander,0.17742314774631507,0.2869819402694702
catatumbo,catatumbo_b0002,Norte de Santander,0.16071955398562487,0.21724945306777954
catatumbo,catatumbo_b0003,Norte de Santander,0.13841322567442527,0.23343610763549805
catatumbo,catatumbo_b0004,Norte de Santander,0.1422531951184146,0.20952624082565308
catatumbo,catatumbo_b0005,Norte de Santander,0.1871810778848927,0.25389087200164795
catatumbo,catatumbo_b0006,Norte de Santander,0.17566286031086675,0.27189773321151733
catatumbo,catatumbo_b0007,Norte de Santander,0.14725130580403856,0.21671396493911743
catatumbo,catatumbo_b0008,Norte de Santander,0.16048338642940363,0.25935161113739014
catatumbo,catatumbo_b0009,Norte de Santander,0.2153893692086405,0.3099769949913025
catatumbo,catatumbo_b0010,Norte de Santander,0.11353379445195366,0.2553086280822754
catatumbo,catatumbo_b0011,Norte de Santander,0.12658704249139907,0.2671167850494385
catatumbo,catatumbo_b0012,Norte de Santander,0.123397805973962,0.24869030714035034
catatumbo,catatumbo_b0013,Norte de Santander,0.1460232531104565,0.2518354654312134
catatumbo,catatumbo_b0014,Norte de Santander,0.22918414103217177,0.3194015622138977
catatumbo,catatumbo_b0015,Norte de Santander,0.21558271492039482,0.2840383052825928
catatumbo,catatumbo_b0016,Norte de Santander,0.29080162051575265,0.3558419942855835
catatumbo,catatumbo_b0017,Norte de Santander,0.16682268887149132,0.22866559028625488
catatumbo,catatumbo_b0018,Norte de Santander,0.1517285081132943,0.209994375705719
catatumbo,catatumbo_b0019,Norte de Santander,0.13901755806538085,0.21910494565963745
catatumbo,catatumbo_b0020,Norte de Santander,0.16675054669425937,0.24219805002212524
catatumbo,catatumbo_b0021,Norte de Santander,0.277977772303587,0.32641202211380005
catatumbo,catatumbo_b0022,Norte de Santander,0.1608346992812446,0.21757614612579346
catatumbo,catatumbo_b0023,Norte de Santander,0.15330191688852868,0.22879046201705933
catatumbo,catatumbo_b0024,Norte de Santander,0.15429323810099627,0.2275627851486206
catatumbo,catatumbo_b0025,Norte de Santander,0.21072380776903687,0.29533421993255615
catatumbo,catatumbo_b0026,Norte de Santander,0.15339261850306607,0.25486040115356445
catatumbo,catatumbo_b0027,Norte de Santander,0.11832128347919624,0.21296942234039307
catatumbo,catatumbo_b0028,Norte de Santander,0.13136372401354424,0.2413160800933838
catatumbo,catatumbo_b0029,Norte de Santander,0.15232961848245719,0.27480292320251465
catatumbo,catatumbo_b0030,Norte de Santander,0.10281827934670096,0.20625996589660645
catatumbo,catatumbo_b0031,Norte de Santander,0.19198140370520556,0.2860659956932068
catatumbo,catatumbo_b0032,Norte de Santander,0.14520595381915014,0.25437647104263306
catatumbo,catatumbo_b0033,Norte de Santander,0.1749008751954998,0.3010904788970947
catatumbo,catatumbo_b0034,Norte de Santander,0.1842088142541558,0.2896750569343567
catatumbo,catatumbo_b0035,Norte de Santander,0.14973150786734823,0.2706688642501831
